거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
주)대성씨앤씨,PP9MMPP9M／M9.5KG(백색),4,195.7,11.5,296.88,2025-11-17,63,75.6,불규칙
한국포장기계,PE28mm 2kgPE28M／M(백)2KG,35,21.3,9.9,1518.17,2025-12-29,21,75.6,안정
(주)삼영피앤텍,PE28mm 2kgPE28M／M(백)2KG,14,51.8,21.2,44.29,2025-11-06,74,75.5,안정
(주)스피드랩코리아,PP6MMPP6M／M10KG(백),28,27.1,12.8,634.64,2026-01-05,14,75.5,안정
한길포장기계,PP12MPP12M／M10KG(청),11,69.9,30.6,423.64,2025-12-01,49,75.4,안정
우선산업,PE28mm 2kgPE28M／M(백)2KG,8,40.4,14.1,500.0,2025-12-26,24,75.3,안정
합동포장기계,PP12MPP12M／M10KG(백),16,48.9,23.5,238.12,2026-01-05,14,75.2,안정
(주)낙원포장,PP10MPP10M／M10KG(백색),8,80.1,23.5,1000.0,2025-11-05,75,75.2,안정
한국포장기계,PP6MMPP6M／M10KG(백),37,20.1,9.6,1863.78,2025-12-29,21,75.1,안정
주식회사 광림파워팩,PP15MPP15M／M13KG(황),10,77.2,35.8,377.0,2025-12-18,32,75.1,안정
삼원산업,PP15MPP15MM*10KG(황색),9,88.0,36.6,1111.11,2025-12-30,20,75.1,안정
태광오토팩,PE28mm 2kgPE28M／M(백)2KG,10,69.2,29.4,488.0,2025-11-11,69,75.0,안정
서흥포장 주식회사,PP12MPP12M／M10KG(황),13,57.3,26.3,97.69,2025-12-10,40,74.9,안정
(주)낙원포장,PP12MPP12M／M10KG(황),27,27.7,13.1,944.44,2025-12-23,27,74.8,안정
CYKLOP PACKAGING SYSTEMS PTY LTD.,PP 11.5MM 2000M 0.75MM BLACK11.5mm 2000m 0.75mm Black (Core 200mm),2,637.0,0.0,1814.4,2025-12-25,25,74.6,일회성
한남포장기계,PP12MPP12M／M9KG(황),22,20.3,9.6,837.82,2025-12-16,34,74.6,안정
서울상사,PP9MMPP9M／M10KG(황),6,125.0,17.8,543.33,2025-09-26,115,74.6,불규칙
CYKLOP PACKAGING SYSTEMS PTY LTD.,"12 x 3,000M 0.65T12x3,000M0.65T BLUE",16,48.1,23.2,5822.25,2025-12-25,25,74.5,안정
CYKLOP PACKAGING SYSTEMS PTY LTD.,PP19M HD BlackPP19M／M*1000M1.0TBlack,11,72.2,35.0,3608.18,2025-12-25,25,74.4,안정
(주)영화포장,PE 결속끈PE#50 (백) 5500m 5KG,2,80.0,0.0,600.0,2025-12-19,31,74.3,일회성
NZ SAFETY BLACKWOODS,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",8,85.4,26.5,1371.9,2025-11-02,78,74.2,안정
삼원산업,PP12MPP12M／M10KG(황),5,141.8,27.6,500.0,2025-12-31,19,74.2,불규칙
한길포장기계,PP12MPP12M／M10KG(투명),2,255.0,0.0,80.0,2025-12-15,35,74.1,일회성
클린플러스,PP8MPP8M／M10KG(백),2,20.0,0.0,255.0,2025-12-15,35,74.1,일회성
경인산업,PP12MPP12M／M10KG(청),2,6.0,0.0,65.0,2025-12-04,46,73.5,일회성
KOMERI,15 x 100M 0.55T15x100M0.55T자색,16,42.5,19.9,296.43,2025-11-23,57,73.5,안정
KOMERI,15 x 100M 0.55T15x100M0.55T백색,16,42.5,19.9,824.1,2025-11-23,57,73.5,안정
KOMERI,"15.5 x 2,500M 0.55T15.5x2,500M0.55T황색",16,42.5,19.9,2026.5,2025-11-23,57,73.5,안정
한국포장기계,PE28mm 2kgPE28M／M(황)2KG,2,30.0,0.0,150.0,2025-12-03,47,73.4,일회성
신한포장기계(주),PE28mm 2kgPE28M／M(백)2KG,10,69.8,31.7,1001.2,2025-11-10,70,73.4,안정
삼원산업,PP8MPP8M／M10KG(백),2,292.0,0.0,500.0,2025-12-02,48,73.4,일회성
금산포장,"PE28mm, 6KGPE28M／M(백)6KG",9,67.8,30.0,24.0,2025-12-22,28,73.3,안정
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"15 x 1,000M 1.0T H/D Black15 x 1,000M 1.0T H/D Black",2,347.0,0.0,864.0,2025-11-27,53,73.1,일회성
다함팩,"PE28mm, 6KGPE28M／M(백)6KG",2,14.0,0.0,48.0,2025-11-27,53,73.1,일회성
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,PP 11.5MM 2000M 0.75MM BLACK11.5mm 2000m 0.75mm Black Core 406mm,2,347.0,0.0,2822.4,2025-11-27,53,73.1,일회성
