거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
동양프린팅,PE28mm 2kgPE28M／M(백)2KG,4,161.3,17.9,20.0,2025-06-18,215,64.7,휴면
"주식회사 오비아이(OBI co.,Ltd.)",PE28mm 2kgPE28M／M(백)2KG,5,124.2,40.3,200.0,2025-11-04,76,64.6,불규칙
(주)태양지대,"PE28mm, 6KGPE28M／M(백)6KG",3,181.0,1.0,480.0,2025-05-07,257,64.6,휴면
(주)디알젬(김천공장지점),피피클립19*28(2KG-삼성),2,305.0,0.0,7500.0,2025-06-23,210,64.5,휴면
동원팩,PP6MMPP6M／M10KG(백),146,5.0,3.5,537.05,2026-01-05,14,64.4,불규칙
라이커스,Y-130 (PP원료),6,128.6,57.8,3933.5,2025-12-29,21,64.4,불규칙
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"12 x 3,000M 0.65T White w/Green Ararat Meat Exports EST.298 printed12 x 3,000M 0.65T White w/Green Ararat Meat Exports EST.298 printed",4,152.7,45.4,5116.12,2025-11-27,53,64.2,불규칙
세움패키지(SEUMPKG),PE 결속끈PE#50 (백) 5500m 5KG,2,289.0,0.0,400.0,2025-06-14,219,64.0,휴면
전주삼신산업,PE28mm 2kgPE28M／M(청)2KG,4,70.7,11.0,110.0,2025-07-16,187,64.0,휴면
라이커스,TI-640,2,150.0,0.0,1090.0,2025-06-13,220,63.9,휴면
콩나물,PP12MPP12M／M10KG(황),3,211.5,18.5,233.33,2025-07-07,196,63.9,휴면
광림포장기계,PP15MPP15M／M13KG(황),2,140.0,0.0,455.0,2025-06-09,224,63.7,휴면
대상산업,PP12MPP12M／M12.5KG (황),31,23.5,16.2,256.85,2025-12-17,33,63.7,불규칙
전주삼신산업,PP7MPP7M10KG백색,25,28.6,19.5,225.6,2025-12-09,41,63.7,불규칙
(주)낙원포장,PP10.5MPP10.5M10KG(청),6,82.8,36.7,500.0,2025-12-09,41,63.6,불규칙
TIGERPAK PACKAGING,12 x 2800M 0.60T12 x 2800M 0.60T BLUE,11,43.5,30.5,5599.49,2025-12-25,25,63.6,불규칙
주)대성씨앤씨,PP12MPP12M／M10KG(황),8,79.4,43.8,551.25,2025-11-28,52,63.6,불규칙
신광포장기계,PE28mm 2kgPE28M／M(백)2KG,54,12.8,8.9,302.59,2025-12-18,32,63.5,불규칙
신광포장기계,PP12MPP12M／M10KG(황),66,11.2,7.9,464.24,2025-12-29,21,63.5,불규칙
대상산업,PE28mm 2kgPE28M／M(적)2KG,4,121.7,6.5,30.0,2025-04-03,291,63.4,휴면
(주)아이마켓코리아,PP11MM*13.34KG삼성경량밴드2300m*두께0.84mm단중5.8g GRS,162,4.0,2.8,3583.38,2025-12-24,26,63.1,불규칙
세움패키지(SEUMPKG),PP6MMPP6M／M10KG(백),3,138.5,1.5,400.0,2025-04-14,280,63.1,휴면
H.E. BAUMRUCKER COMPANY,"15 x 1,645M 0.76T 16*6 Black15 x 1,645M 0.76T 16*6 Black",2,16.0,0.0,4032.0,2025-05-26,238,63.0,휴면
주식회사 광신수출포장,PP7MPP7M10KG백색,2,320.0,0.0,1000.0,2025-05-26,238,63.0,휴면
진송팩,PE28mm 2kgPE28M／M(백)2KG,71,10.4,7.6,724.23,2026-01-02,17,62.8,불규칙
유일,"PE50mm, 5KGPE50M／M(백)5KG",2,263.0,0.0,600.0,2025-05-19,245,62.6,휴면
주식회사 광림파워팩,PP15MPP15MM*10KG(황색),15,50.6,37.0,616.0,2025-12-31,19,62.4,불규칙
신광포장기계,"PE28mm, 6KGPE28M／M(백)6KG",19,34.6,23.1,113.68,2025-11-04,76,62.4,불규칙
(주)탐스텍,"15 x 2,000M 0.50T15 x 2,000M 0.50T 청색",6,121.0,59.9,1003.2,2025-12-29,21,62.1,불규칙
CYKLOP PACKAGING SYSTEMS PTY LTD.,PP 12MM12MMx1000Mx0.55MM Blue,10,67.4,42.0,2343.6,2025-09-18,123,62.1,불규칙
상일교역상사,"12 x 1,707M 0.78T12x1,707M 0.78T 백색",3,223.0,37.0,1639.68,2025-08-13,159,62.0,불규칙
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"15 x 2,500M 0.70T15 x 2,500M 0.70T 청색",2,144.0,0.0,1908.0,2025-05-08,256,62.0,휴면
진송팩,PE28mm 2kgPE28M／M(청)2KG,17,39.4,28.8,351.76,2025-12-22,28,61.9,불규칙
동원팩,PE28mm 2kgPE28M／M(백)2KG,163,4.5,3.3,260.25,2025-12-29,21,61.9,불규칙
진로특수포장기계,PE 결속끈PE#50 (백) 5500m 5KG,3,253.5,33.5,100.0,2025-07-10,193,61.8,휴면
서울상사,PP12MPP12M／M10KG(황),18,41.7,30.5,690.0,2025-12-19,31,61.8,불규칙
(주)탐스텍,"15 x 1,000M 1.0T H/D Yellow w/paper core15 x 1,000M 1.0T H/D Yellow w/paper core",4,167.0,44.9,1386.0,2025-09-16,125,61.7,불규칙
그린웰푸드,PE28mm 2kgPE28M／M(백)2KG,2,481.0,0.0,110.0,2025-04-29,265,61.5,휴면
동원팩,PP12MPP12M／M10KG(황),39,18.7,13.8,134.36,2025-12-20,30,61.5,불규칙
H.E. BAUMRUCKER COMPANY,"12 x 3,018M 0.58T White (8x8)12 x 3,018M 0.58T White (8x8)",7,87.7,41.1,3291.43,2025-09-27,114,61.3,불규칙
경은종합상사,PE28mm 2kgPE28M／M(백)2KG,2,292.0,0.0,200.0,2025-04-23,271,61.2,휴면
강원농협연합포장재가공사업소,PP12MPP12M／M12.5KG (황),14,44.5,31.4,3348.21,2025-11-17,63,61.2,불규칙
광림포장기계,PP15MPP15M／M10KG(투명),2,471.0,0.0,215.0,2025-04-23,271,61.2,휴면
진송팩,PP6MMPP6M／M10KG(백),7,107.0,58.3,1020.0,2025-12-01,49,61.1,불규칙
금성포장,스트레치필름(특수기능형)15*500*400,3,242.0,36.0,16.67,2025-07-10,193,61.0,휴면
세림산업사,PP원료 (검정),3,94.0,24.0,3600.0,2025-10-14,97,60.9,불규칙
대흥수출포장,PE28mm 2kgPE28M／M(백)2KG,23,33.2,25.6,101.74,2026-01-05,14,60.7,불규칙
주식회사 대한종합포장,스트레치필름(일반 기계랩)20*500mm*1400m,19,37.3,27.0,52.89,2025-11-19,61,60.5,불규칙
삼원산업,PP12MPP12M／M12KG(투명),5,120.2,53.4,600.0,2025-12-02,48,60.2,불규칙
주식회사 광림파워팩,PP12MPP12mm*0.72T*2800m 12.5KG(투명),9,76.8,49.8,718.06,2025-10-29,82,60.1,불규칙
경인팩,팔렛트일회용 플라스틱,133,5.5,4.3,2.48,2026-01-05,14,59.9,불규칙
진송팩,"PE28mm, 6KGPE28M／M(백)6KG",21,35.0,26.3,211.43,2025-12-02,48,59.8,불규칙
경인팩,PE28mm 2kgPE28M／M(백)2KG,100,7.3,5.7,804.8,2025-12-30,20,59.7,불규칙
동원팩,PE28mm 2kgPE28M／M(청)2KG,21,35.0,27.0,37.14,2025-12-16,34,59.6,불규칙
태광오토팩,PE28mm 2kgPE28M／M(황)2KG,2,402.0,0.0,200.0,2025-03-24,301,59.5,휴면
NZ SAFETY BLACKWOODS,PP19M HD BlackPP19M／M*1000M1.0TBlack,9,81.2,54.1,1456.0,2025-11-02,78,59.4,불규칙
경인팩,PP6MMPP6M／M10KG(백),136,5.3,4.3,1395.22,2026-01-05,14,59.4,불규칙
대상산업,PE28mm 2kgPE28M／M(황)2KG,24,30.7,23.6,157.83,2025-12-09,41,59.4,불규칙
전주삼신산업,PP6MMPP6M／M10KG(백),27,27.2,21.6,240.37,2025-12-29,21,59.1,불규칙
금산포장,PP15MPP15M／M10KG(백색),5,153.8,77.4,500.0,2026-01-05,14,59.1,불규칙
TIGERPAK PACKAGING,Ocean FreightOcean Freight (선임),10,54.0,30.1,1.1,2025-05-22,242,58.9,휴면
TIGERPAK PACKAGING,"12 x 3,000M 0.52T12 x 3,000M 0.52T 청색",5,90.5,11.3,5532.24,2025-01-18,366,58.8,휴면
주식회사 인선,PP 05MM05MM x 7000 x 0.45MM White,2,365.0,0.0,385.0,2025-03-12,313,58.8,휴면
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,PP19M Premium Black w/paper corePP19M／M*1000M 0.7T Black w/paper core,3,229.0,80.0,2436.0,2025-11-27,53,58.6,불규칙
박스컴퍼니(주),PP7MPP7M10KG백색,4,95.0,6.5,560.0,2024-10-30,446,58.6,휴면
주)대성씨앤씨,스트레치필름(기능 핸드랩)15*500mm*400m,2,253.0,0.0,124.0,2025-03-07,318,58.6,휴면
KOMERI,15 x 100M 0.55T15x100M 0.55T 황색,14,49.0,37.6,1135.82,2025-11-23,57,58.5,불규칙
KOMERI,15 x 100M 0.55T15x100M0.55T청색,14,49.0,37.6,888.41,2025-11-23,57,58.5,불규칙
호성수출포장,PE28mm 2kgPE28M／M(백)2KG,5,150.8,67.2,320.0,2025-10-31,80,58.3,불규칙
동원팩,운송료,42,16.9,13.6,2.38,2025-12-23,27,58.2,불규칙
한남포장기계,PP12MPP12MM / 9.5KG(황),14,21.2,9.2,841.43,2024-10-23,453,58.2,휴면
서울상사,PP6MMPP6M／M10KG(백),2,35.0,0.0,70.0,2025-02-28,325,58.2,휴면
경인팩,PP6MMPP6M／M10KG(황),10,75.7,61.8,502.0,2025-12-31,19,58.1,불규칙
NZ SAFETY BLACKWOODS,PP19MPP19M／M*0.55T 1000M White,3,51.0,1.0,1391.93,2024-05-03,626,58.0,휴면
백암지관공업사,PP12MPP12M／M11KG(청),6,138.8,76.1,55.0,2025-12-03,47,58.0,불규칙
천일포장산업,"PE28mm, 6KGPE28M／M(백)6KG",7,87.0,44.7,185.14,2025-09-05,136,57.9,불규칙
한국포장기계,"PE28mm, 6KGPE28M／M(백)6KG",5,107.0,52.4,652.8,2025-12-03,47,57.9,불규칙
금산포장,PP12MPP12M／M10KG(투명),11,60.1,49.0,197.27,2025-12-24,26,57.8,불규칙
주신산업,운송료택배비,64,11.5,9.5,1.66,2026-01-05,14,57.7,불규칙
주신산업,PE28mm 2kgPE28M／M(백)2KG,64,11.5,9.5,33.75,2026-01-05,14,57.7,불규칙
경인팩,PP12MPP12M／M10KG(백),6,119.0,65.2,228.33,2025-11-25,55,57.6,불규칙
TIGERPAK PACKAGING,PP 12MM12MMx1000Mx0.50MM Grey,2,125.0,0.0,2095.5,2025-02-18,335,57.6,휴면
진송팩,PP18MPP18M／M10KG(황),14,44.9,33.9,180.71,2025-10-24,87,57.5,불규칙
PUNCHBOWL,PP19M Premium BlackPP19M／M*1000M 0.8T Black,2,115.0,0.0,1800.0,2025-02-14,339,57.4,휴면
서해유통,PP12MPP12M／M10KG(황),2,334.0,0.0,100.0,2025-02-11,342,57.3,휴면
보우팩,"PE28mm, 6KGPE28M／M(백)6KG",4,188.3,59.9,486.0,2025-08-06,166,57.0,불규칙
전주삼신산업,PP9MMPP9M／M10KG(투명),9,46.9,35.6,58.89,2025-12-12,38,56.9,불규칙
광림포장기계,PP9MMPP9M／M10KG(황),10,57.6,35.5,640.0,2025-06-09,224,56.9,휴면
제일포장(김해),PE28mm 2kgPE28M／M(백)2KG,6,88.4,27.3,910.0,2025-04-08,286,56.9,휴면
동원팩,PP9MMPP9M／M10KG(투명),10,39.8,18.6,262.0,2025-01-24,360,56.9,휴면
경인팩,운송료,119,6.2,5.3,2.59,2026-01-05,14,56.4,불규칙
합동포장기계,PP12MPP12M／M9KG(황),4,78.3,39.2,342.0,2026-01-05,14,56.2,불규칙
파워엠팩,PP12MPP12M／M10KG(투명),2,153.0,0.0,510.0,2024-06-03,595,56.0,휴면
파워엠팩,PP12MPP12M／M10KG(청),2,7.0,0.0,750.0,2024-01-30,720,56.0,휴면
(주)거성씨푸드,PP15MPP15MM*10KG(황색),2,120.0,0.0,150.0,2024-06-07,591,56.0,휴면
(주)낙원포장,PE15MPP15M／M10KG,2,183.0,0.0,160.0,2024-11-01,444,56.0,휴면
NORTH SHORE,PP19M HD Black (CORE 8X8)PP19MM*1219M 0.9T Black,2,202.0,0.0,2986.9,2024-10-25,451,56.0,휴면
NORTH SHORE,Ocean FreightOcean Freight (선임),2,202.0,0.0,1.0,2024-10-25,451,56.0,휴면
HIGHGATE DISTRIBUTION,"12 x 3,000M 0.65T12x3,000M0.65T CLEAR",2,80.0,0.0,9072.0,2024-04-11,648,56.0,휴면
주식회사 동원피앤아이,STOPPER 500 PCSSTOPPER 500 PCS 투명,2,78.0,0.0,50250.0,2025-01-16,368,56.0,휴면
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,동판비동판비,2,111.0,0.0,1.0,2024-12-15,400,56.0,휴면
HIGHGATE DISTRIBUTION,Ocean FreightOcean Freight (선임),2,80.0,0.0,1.0,2024-04-11,648,56.0,휴면
서윤상사,운송료,2,12.0,0.0,1.0,2024-02-06,713,56.0,휴면
삼원포장산업,PE28mm 2kgPE28M／M(백)2KG,2,216.0,0.0,200.0,2024-11-25,420,56.0,휴면
주식회사 에이스팩,스트레치필름(일반 기계랩)25*500mm*1400m,2,27.0,0.0,30.0,2024-03-20,670,56.0,휴면
동방포장기자재,PP12MPP12M／M12KG(적색),2,266.0,0.0,1092.0,2024-12-13,402,56.0,휴면
대상산업,운송료,2,95.0,0.0,1.5,2024-04-15,644,56.0,휴면
서윤상사,PE28mm 2kgPE28M／M(백)2KG,2,12.0,0.0,480.0,2024-02-06,713,56.0,휴면
RLBUTTON,"12 x 3,000M 0.63T12x3,000M0.63TCLEAR",2,187.0,0.0,1543.5,2024-08-08,529,56.0,휴면
제일포장(김해),운송료,2,16.0,0.0,2.5,2024-11-27,418,56.0,휴면
POWERPAK,PP 12MM12MMx1000Mx0.50MM Grey,2,46.0,0.0,1287.0,2024-04-25,634,56.0,휴면
POWERPAK,PP19M Premium Dark GreyPP19M／M*1000M 0.7T Dark Grey,2,46.0,0.0,2610.0,2024-04-25,634,56.0,휴면
TIGERPAK PACKAGING,"12 x 2,800M 0.55T12 x 2,800M 0.55T 검정",2,92.0,0.0,4729.2,2024-08-03,534,56.0,휴면
TIGERPAK PACKAGING,12 x 2800M 0.55T12 x 2800M 0.55T BLACK,2,50.0,0.0,2948.4,2025-01-18,366,56.0,휴면
주식회사 대한종합포장,스트레치필름(기능 기계랩)15*500mm*1700m,2,14.0,0.0,36.0,2024-08-01,536,56.0,휴면
ELORABI TRADING & AGENCIES,PP 05MM05MM x 7000 x 0.45MM White,2,342.0,0.0,12593.0,2024-12-20,395,56.0,휴면
삼원포장산업,운송료,2,216.0,0.0,1.0,2024-11-25,420,56.0,휴면
고림포장주식회사,PP7MPP7M10KG백색,2,109.0,0.0,315.0,2024-04-22,637,56.0,휴면
PARAMOUNT PAPER MERCHANTS PTY LTD.,"15 x 1,000M 0.55T Blue15x1,000M0.55T청색",2,215.0,0.0,590.4,2024-12-28,387,56.0,휴면
WESFARMERS INDUSTRIAL AND SAFE,"15 x 1,000M 0.55T Blue15x1,000M0.55T청색",2,187.0,0.0,752.0,2024-07-06,562,56.0,휴면
WESFARMERS INDUSTRIAL AND SAFE,PP19MPP19M／M*0.60T 1000M Blue,2,187.0,0.0,911.4,2024-07-06,562,56.0,휴면
OMNI GROUP,"15 x 2,500M 0.60T15 x 2,500M 0.60T 청색",2,156.0,0.0,2152.5,2024-06-07,591,56.0,휴면
WESFARMERS INDUSTRIAL AND SAFE,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",2,187.0,0.0,1453.5,2024-07-06,562,56.0,휴면
TIGERPAK PACKAGING,"15 x 2,500M 0.70T15 x 2,500M 0.70T 청색",2,44.0,0.0,2120.0,2024-11-29,416,56.0,휴면
신대한판지(주),PP12MPP12M／M10KG(녹),2,121.0,0.0,800.0,2024-06-01,597,56.0,휴면
신광포장기계,스트레치필름(일반 핸드랩)15*500mm*400m,2,55.0,0.0,32.0,2024-05-08,621,56.0,휴면
OMNI GROUP,"12 x 3,000M 0.60T12x3,000M0.60T BLUE 30% Recycled",2,149.0,0.0,3916.8,2024-12-30,385,56.0,휴면
PARAMOUNT PAPER MERCHANTS PTY LTD.,PP19M HD BlackPP19M/M*1000M 0.85T Black,2,215.0,0.0,816.0,2024-12-28,387,56.0,휴면
POWERPAK,"15 x 1,000M 0.50T Grey15x1,000M0.50T회색",2,46.0,0.0,1275.0,2024-04-25,634,56.0,휴면
POWERPAK,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",2,46.0,0.0,4029.0,2024-04-25,634,56.0,휴면
POWERPAK,Ocean FreightOcean Freight (선임),2,46.0,0.0,1.0,2024-04-25,634,56.0,휴면
POWERPAK,"15 x 1,000M 0.7T H/D Dark Grey15 x 1,000M 0.7T H/D Dark Grey",2,46.0,0.0,555.0,2024-04-25,634,56.0,휴면
ABL,STEEL 19MMx0.80MM ZINC COATED HT ROPESTEEL 19MMx0.80MM ZINC COATED HT ROPE,2,183.0,0.0,5023.0,2024-07-10,558,56.0,휴면
광현페이퍼,PE28mm 2kgPE28M／M(청)2KG,2,50.0,0.0,350.0,2024-12-11,404,56.0,휴면
(주)한주,"삼성 코드: 6922-00001(황색) PP18MMx 2300M 포장중량 21Kg, 1롤/1pcs 포장,",2,38.0,0.0,6468.0,2024-03-11,679,56.0,휴면
ABL,PP19M HD BlackPP19M／M*1000M1.0TBlack,2,183.0,0.0,2100.0,2024-07-10,558,56.0,휴면
파워엠팩,PP10.5MPP10.5M10KG(청),5,56.8,10.2,498.0,2024-08-23,514,56.0,휴면
합동포장기계,PE28mm 2kgPE28M／M(청)2KG,2,4.0,0.0,20.0,2024-04-02,657,56.0,휴면
(주)태광피엔에스,PP12MPP12M／M9KG(자동용인쇄밴드),2,193.0,0.0,36.0,2024-07-16,552,56.0,휴면
광림포장기계,PP6MMPP6M／M10KG(백),2,77.0,0.0,550.0,2024-12-20,395,56.0,휴면
WESTSIDE PACKAGING SYSTEMS AUSTRALIA,"12 x 3,000M 0.65T12x3,000M0.65T BLUE",4,139.0,41.7,3648.75,2025-07-01,202,55.9,휴면
경인팩,"PE50mm, 6KGPE50M／M(백)6KG",8,81.9,51.9,330.0,2025-09-23,118,55.8,불규칙
주식회사 삼성종합포장,PP6MMPP6M／M10KG(백),3,200.0,25.0,133.33,2025-03-11,314,55.5,휴면
서흥포장 주식회사,PP7MPP7M10KG백색,7,101.7,59.2,171.43,2025-09-23,118,55.4,불규칙
진송팩,PE28mm 2kgPE28M／M(적)2KG,12,62.5,51.7,45.0,2025-11-19,61,55.3,불규칙
H.E. BAUMRUCKER COMPANY,Ocean FreightOcean Freight (선임),9,65.8,47.0,1.56,2025-09-27,114,55.0,불규칙
신광포장기계(부산),PE28mm 2kgPE28M／M(백)2KG,15,47.9,39.1,216.0,2025-11-04,76,55.0,불규칙
H.E. BAUMRUCKER COMPANY,"9 x 3,932M 0.61T 백색 230 CORE (9*8)9 x 3,932M 0.61T 백색 230 CORE (9*8)",9,65.8,47.0,5943.2,2025-09-27,114,55.0,불규칙
전주삼신산업,PP12MPP12M／M10KG(황),11,70.4,61.8,81.82,2025-12-26,24,54.8,불규칙
신광포장기계,운송료,33,21.7,18.7,1.33,2025-12-10,40,54.7,불규칙
주식회사현진솔루션,도전성밴드15mm*6.2kg,3,67.0,6.0,87.33,2024-07-16,552,54.5,휴면
광림포장기계,PP12MPP12mm*0.72T*2800m 12.5KG(투명),3,178.0,58.0,1000.0,2025-08-21,151,54.4,불규칙
동원팩,PE28mm 2kgPE28M／M(황)2KG,39,17.9,15.0,84.1,2025-11-14,66,54.4,불규칙
대상산업,PP5MMx7000Mx0.5T 백색,5,91.2,44.5,48.0,2025-09-23,118,54.2,불규칙
(주)아이마켓코리아,PP18MM*21kg 삼성 recycle2300M두께0.80mm단중8.8g Clear,138,5.3,4.7,4871.09,2025-12-24,26,54.1,불규칙
H.E. BAUMRUCKER COMPANY,PP 12MM12MM 2195M 0.65MM Black (16x6),7,75.2,46.6,7528.24,2025-09-27,114,53.8,불규칙
경인팩,PE28mm 2kgPE28M／M(청)2KG,8,66.4,39.5,155.0,2025-07-11,192,53.7,휴면
(주)아이마켓코리아,"PP18MM x 21Kg 삼성 황색2300M 포장중량 21Kg, 1롤/1pcs 포장 (황색)",46,15.2,13.8,4098.65,2025-12-24,26,53.3,불규칙
주식회사 마크원테크,운송료,14,34.5,31.1,1.0,2025-12-19,31,53.2,불규칙
경인팩,PP12MPP12M／M12.5KG (황),6,116.4,73.0,208.33,2025-11-12,68,52.9,불규칙
RLBUTTON,PP19M HD SilverPP19M／M*1000M1.0T Silver,8,97.4,76.7,1480.5,2025-12-16,34,52.8,불규칙
주)대성씨앤씨,PP7MPP7M10KG백색,4,175.3,61.2,500.0,2025-06-18,215,52.8,휴면
CYKLOP PACKAGING SYSTEMS PTY LTD.,PP 05MM05MM x 7000 x 0.50MM White,8,65.4,33.4,3685.5,2025-04-05,289,52.6,휴면
윤스북,PP12MPP12M／M10KG(황),4,219.7,113.6,46.0,2025-11-14,66,52.5,불규칙
평원산업,PP18MPP18M／M10KG(황),6,122.4,75.7,685.0,2025-10-24,87,52.3,불규칙
연화수출포장,PP15MPP15M／M10KG(투명),6,70.0,48.6,583.33,2025-12-31,19,52.3,불규칙
(주)디앤푸드,스트레치필름(일반 기계랩)20*500mm*1400m,5,99.0,27.6,30.0,2025-02-04,349,51.9,휴면
RLBUTTON,PP19M BUILDERSPP19M／M*300M 0.60T Blue Thermakraft print box,5,133.5,78.8,3301.82,2025-11-12,68,51.8,불규칙
ANDERSON WHOLESALE PACKAGING PTY LTD.,"15 x 1,000M 0.50T Blue15x1,000M0.50T청색",7,71.8,45.9,1200.0,2025-09-08,133,51.7,불규칙
합동포장기계,PP12MPP12mm*0.72T*2800m 12.5KG(투명),7,90.5,63.4,160.71,2025-11-01,79,51.6,불규칙
ANDERSON WHOLESALE PACKAGING PTY LTD.,PP 12MM12MMx1000Mx0.60MM Blue,5,121.5,64.3,102.0,2025-09-08,133,51.3,불규칙
ANDERSON WHOLESALE PACKAGING PTY LTD.,PP19M HD BlackPP19M／M*1000M1.0TBlack,7,81.0,52.7,975.0,2025-09-08,133,51.2,불규칙
주식회사 에이스팩,스트레치필름(일반 핸드랩)18*500mm*350m,8,27.9,12.8,6.5,2024-08-08,529,51.1,휴면
(주)베스테크,도전성밴드7.7mm*900m,30,19.4,17.8,281.93,2025-11-11,69,50.6,불규칙
승일제대 주식회사,PE28mm 2kgPE28M／M(백)2KG,3,196.5,81.5,40.0,2025-09-02,139,50.6,불규칙
승일제대 주식회사,운송료택배비,3,196.5,81.5,2.0,2025-09-02,139,50.6,불규칙
주식회사 광림파워팩,PP6MMPP6M／M10KG(백),9,70.4,52.6,717.78,2025-08-08,164,50.6,불규칙
신광포장기계,PP16MPP16M／M10KG(황),10,54.0,38.3,284.0,2025-05-09,255,50.5,휴면
H.E. BAUMRUCKER COMPANY,"12 x 3,018M 0.58T White 230 CORE (9x8)12 x 3,018M 0.58T White 230 CORE (9x8)",6,105.2,66.3,2280.0,2025-09-27,114,50.2,불규칙
ANDERSON WHOLESALE PACKAGING PTY LTD.,"12 x 3,000M 0.55T12 x 3,000M 0.55T 청색",8,82.4,61.1,2261.7,2025-09-08,133,49.6,일회성
제이케이머티리얼즈(주)/순성공장,PET 16MMPET 16mm x 0.8T x 1200m Embossed (반투명 녹색),6,102.2,52.2,18.33,2025-05-29,235,49.6,휴면
H.E. BAUMRUCKER COMPANY,PP 12MM 2743M 0.45 Black (16*6)PP 12MM 2743M 0.45 Black (16*6),6,80.4,40.8,1568.0,2025-05-26,238,49.6,휴면
유일포장기계,PP5MMx7000Mx0.5T 백색,9,79.4,71.2,38.22,2025-12-01,49,49.5,일회성
NZ SAFETY BLACKWOODS,PP19M Premium BlackPP19M／M*1000M 0.8T Black,8,82.1,59.4,768.0,2025-08-19,153,49.4,일회성
대상산업,PP6MMPP6M／M10KG(백),42,13.7,15.5,213.1,2026-01-02,17,49.1,일회성
주식회사 삼우텍,PP18MMx 15kg 삼성1650M두께0.80mm단중8.56g,3,199.5,43.5,150.0,2025-02-06,347,49.1,휴면
주식회사 대일,PE28mm 2kgPE28M／M(백)2KG,3,160.5,85.5,80.0,2025-11-19,61,49.0,일회성
유일,PE28mm 2kgPE28M／M(백)2KG,17,42.9,41.1,748.24,2025-11-21,59,48.9,일회성
진송팩,박스,6,91.2,58.8,2.0,2025-09-12,129,48.7,일회성
합동포장기계,PP9MMPP9M／M10KG(황),3,152.5,31.5,200.0,2025-01-03,381,48.7,휴면
주식회사 동원피앤아이,PE 결속끈PE#50 (백) 5500m 5KG,53,13.9,15.1,2108.02,2025-12-26,24,48.7,일회성
CYKLOP PACKAGING SYSTEMS PTY LTD.,"12 x 3,000M 0.65T12x3,000M0.65T CLEAR",11,72.2,77.4,4824.27,2025-12-25,25,48.6,일회성
TIGERPAK PACKAGING,12 x 2800M 0.60T12 x 2800M 0.60T CLEAR,8,57.0,47.9,5877.41,2025-11-19,61,48.6,일회성
주식회사 마크원테크,PP6MMPP6M／M10KG(백),16,29.9,30.0,677.5,2025-12-19,31,48.3,일회성
신대한판지(주),PP12MPP12M／M10KG(백),4,64.3,17.6,640.0,2024-08-12,525,48.3,휴면
태광오토팩,PE28mm 2kgPE28M／M(청)2KG,7,93.7,66.8,157.14,2025-09-11,130,48.2,일회성
세움패키지(SEUMPKG),PP12MPP12M／M10KG(황),13,50.8,56.4,469.23,2025-12-16,34,48.1,일회성
(주)아이마켓코리아,PP18MMx 21kg 삼성 투명2300M두께0.80mm단중8.8g Clear,6,52.6,26.7,150.5,2025-04-22,272,47.7,휴면
(주)한주,PP15MM*17.5kg 삼성 recycle2194M두께1.0mm단중7.6g Clear,12,26.1,16.9,6108.96,2024-10-15,461,47.6,휴면
RLBUTTON,PP 12MM12MMx1000Mx0.55MM Blue,4,216.0,132.7,641.7,2025-11-12,68,47.6,일회성
평원산업,PP18MPP18M／M10KG(백),5,128.0,83.7,470.0,2025-10-24,87,47.5,일회성
CYKLOP PACKAGING SYSTEMS PTY LTD.,"15 x 1,000M 1.0T H/D Black15 x 1,000M 1.0T H/D Black",5,109.2,79.6,1209.6,2025-12-25,25,47.2,일회성
대상산업,PP6MMPP6M／M10KG(청),3,94.5,22.5,126.67,2024-08-02,535,47.1,휴면
주식회사 에이스팩,스트레치필름(일반 핸드랩)25*500mm*300m,4,41.0,12.3,30.0,2024-06-24,574,47.0,휴면
주식회사 광림파워팩,PP9MMPP9M／M10KG(투명),11,65.5,65.1,464.55,2025-11-18,62,46.9,일회성
파워엠팩,PP9M/MPP9M/M*12KG(은회색),5,24.5,9.0,1005.6,2024-05-21,608,46.7,휴면
진송팩,운송료,40,16.9,16.5,1.82,2025-10-24,87,46.6,일회성
PUNCHBOWL,"12 x 2,500M 0.65T12x2,500M0.65TBLACK",6,136.4,108.4,7946.0,2025-12-16,34,46.4,일회성
경인팩,PE28mm 2kgPE28M／M(적)2KG,9,84.6,82.2,157.78,2025-12-08,42,46.1,일회성
서울상사,PP15MPP15M／M10KG(투명),3,55.5,14.5,233.33,2024-09-04,502,45.9,휴면
주식회사 에이스팩,운송료,5,21.0,8.3,4.6,2024-08-08,529,45.3,휴면
라이커스,TI-640_25kg,3,129.5,35.5,1116.67,2024-12-10,405,45.3,휴면
파워엠팩,PP12MPP12M／M10KG(백),3,71.0,20.0,466.67,2024-06-12,586,44.9,휴면
제일포장(김해),PE28mm 2kgPE28M／M(녹)2KG,7,73.7,45.3,302.86,2025-04-08,286,44.6,휴면
한국포장기계,PE28mm 2kgPE28M／M(청)2KG,8,96.0,89.9,90.0,2025-12-04,46,44.6,일회성
한국포장기계,PE28mm 2kgPE28M／M(적)2KG,4,133.7,93.7,90.0,2025-12-03,47,44.4,일회성
