,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
(주)대일상사 (전주),56,55,89.9,73,82.1,1,466,2011-06-08 0:00,2024-09-20 0:00,4853,125.27,390600,불규칙적
JH글로벌,55,38,56.2,20,121.2,1,740,2017-10-19 0:00,2023-07-01 0:00,2081,960.29,3068043,불규칙적
자강산업(주),53,49,60.1,37.5,112.7,1,819,2010-01-05 0:00,2017-11-30 0:00,2886,684.33,1780530,불규칙적
제이케이머티리얼즈(주)/순성공장,52,48,78.9,22,390,1,2723,2015-11-02 0:00,2025-12-26 0:00,3707,1381.13,2783835,불규칙적
WESFARMERS INDUSTRIAL AND SAFE,52,19,203.7,153.5,147.1,31,541,2015-12-16 0:00,2025-12-29 0:00,3666,4674.01,10490940,불규칙적
신우교역,51,51,97,93,56.4,5,289,2012-04-06 0:00,2025-07-18 0:00,4851,914.47,2048702,불규칙적
우정사업본부,51,29,197.5,72.5,355,2,1447,2010-01-22 0:00,2025-03-13 0:00,5529,3009.69,7496067,불규칙적
신한화학포장기계(주),51,40,55.5,46,39.3,2,238,2010-01-08 0:00,2015-12-11 0:00,2163,1291.26,2966967,불규칙적
다금마대,49,44,44.7,36,22.8,18,113,2020-09-22 0:00,2025-12-29 0:00,1924,304.49,607557,불규칙적
(주)동신밴드,49,25,152.3,36,397.4,6,1969,2015-12-16 0:00,2025-12-18 0:00,3655,2392.84,2673001,불규칙적
(주)디에스팩,49,31,89,46,106,1,420,2010-01-15 0:00,2017-05-08 0:00,2670,19574.38,2972765,불규칙적
J. BLACKWOOD ＆ SON PTY LTD.,48,15,88.5,60,75.1,14,308,2012-05-26 0:00,2015-10-17 0:00,1239,5959.57,13681804,불규칙적
TAIPS,48,7,251.3,236.5,81.7,167,424,2011-07-16 0:00,2015-09-01 0:00,1508,9055.29,23459218,규칙적
태광오토팩,48,35,26.3,20,18.1,2,73,2023-06-21 0:00,2025-12-01 0:00,894,853.6,2065520,불규칙적
PRO-PAC PACKAGING,48,9,101.9,92,67.8,13,256,2012-03-09 0:00,2014-06-02 0:00,815,13131.12,28522171,불규칙적
(주)태양지대,47,41,82.6,36.5,87,3,343,2016-04-20 0:00,2025-05-07 0:00,3304,306.42,1939011,불규칙적
주식회사 고양물산,46,35,56.5,46,40.9,13,181,2020-09-01 0:00,2025-12-05 0:00,1921,354.97,561858,불규칙적
