,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
유일화학,9,6,635.6,93,998.6,8,2605,2013-06-21 0:00,2022-03-04 0:00,3178,8516.4,8316736,불규칙적
제이케이머티리얼즈(주)/신평공장,9,9,46.6,48.5,5.1,37,52,2015-06-01 0:00,2016-06-08 0:00,373,47.56,2131049,규칙적
(주)수현물산,9,9,96.9,92,37.2,48,183,2023-10-11 0:00,2025-11-24 0:00,775,10.11,242667,규칙적
마도종합상사(주),9,9,207.2,200,101.7,83,407,2020-02-04 0:00,2024-08-19 0:00,1658,31.11,97556,규칙적
광진산업(주),9,8,226,191,149.8,39,455,2015-06-25 0:00,2019-10-24 0:00,1582,381.5,1025625,불규칙적
TT ENDUSTRIYEL AMBALAJ MAKINE SANAYI VE TIC A.S,8,2,159,159,0,159,159,2025-06-02 0:00,2025-11-08 0:00,159,12194.1,27071722,규칙적
(주)대림칼라,8,5,107.8,67.5,119.6,1,295,2010-01-25 0:00,2011-04-01 0:00,431,412.5,950000,불규칙적
FWI CORPORATION(ABI),8,1,,,,,,2015-07-04 0:00,2015-07-04 0:00,0,285,280800,N/A
신화티에스,8,8,208.9,161,151,25,420,2020-10-06 0:00,2024-10-07 0:00,1462,528.57,1021429,불규칙적
제일지대,8,8,330.7,294,216.8,36,784,2018-02-28 0:00,2024-07-01 0:00,2315,22.5,71750,불규칙적
주식회사 엔씨마교육,8,4,256.3,251,8.3,250,268,2018-07-06 0:00,2020-08-13 0:00,769,41.5,106000,규칙적
유진산업,8,2,1375,1375,0,1375,1375,2019-04-12 0:00,2023-01-16 0:00,1375,1090,1987936,규칙적
주식회사 바인텍,8,7,48.2,17,62.6,3,181,2025-03-05 0:00,2025-12-19 0:00,289,900.25,6639000,불규칙적
(주)범영인터팩,8,8,39.4,38,8.3,30,57,2013-11-15 0:00,2014-08-18 0:00,276,400,1160000,규칙적
에어프로 주식회사,8,5,254.2,238.5,100.6,134,406,2023-01-18 0:00,2025-10-31 0:00,1017,210,636000,규칙적
덕성수출포장 (신규),8,8,228,176,110.6,101,392,2013-10-22 0:00,2018-03-06 0:00,1596,90,273000,규칙적
ALINE PTY LTD,8,2,110,110,0,110,110,2023-12-23 0:00,2024-04-11 0:00,110,15186.4,34250698,규칙적
코아시스,7,7,66,57,52.1,18,174,2019-04-12 0:00,2020-05-12 0:00,396,1333.33,2466667,불규칙적
(주)대일상사,7,6,77.8,77,39.6,15,139,2010-02-19 0:00,2011-03-15 0:00,389,200,544400,불규칙적
"ARK ENGINEERING AND MANUFACTURING, INC",7,2,88,88,0,88,88,2023-09-12 0:00,2023-12-09 0:00,88,2431,9585936,규칙적
대일포장,7,7,443,58,875.8,20,2401,2011-09-09 0:00,2018-12-19 0:00,2658,120,347000,불규칙적
반월포장,7,7,40.5,31,22.1,30,90,2016-08-10 0:00,2017-04-10 0:00,243,1,100000,불규칙적
대성포장기계,7,7,343.2,184,482.7,5,1396,2019-10-28 0:00,2025-06-17 0:00,2059,38.4,121680,불규칙적
범주무역상사,7,1,,,,,,2010-05-14 0:00,2010-05-14 0:00,0,1924.4,3888300,N/A
(주)바오,7,6,78.4,74,21.6,43,104,2021-12-01 0:00,2022-12-28 0:00,392,41.67,147500,규칙적
박스컴퍼니(주),7,7,77.2,88,24.9,22,92,2023-07-25 0:00,2024-10-30 0:00,463,643.33,1619667,규칙적
자강산업(주) 신평공장,7,6,139,78,141.1,22,406,2016-05-10 0:00,2018-04-05 0:00,695,87.5,644573,불규칙적
(주)디앤푸드,7,7,91,91,25.2,54,129,2023-08-08 0:00,2025-02-04 0:00,546,35.71,1178571,규칙적
(주)일조씨앤큐,7,7,49.2,45.5,9.2,40,67,2010-01-25 0:00,2010-11-16 0:00,295,100,293571,규칙적
제이앤제이유통(주),7,6,155.4,147,79.1,63,254,2016-02-12 0:00,2018-03-30 0:00,777,289.83,827383,불규칙적
주식회사 광신수출포장,7,7,272.8,293.5,40.9,216,320,2020-12-01 0:00,2025-05-26 0:00,1637,1000,2100000,규칙적
석종수출포장,7,7,230,243,49.5,144,288,2021-12-30 0:00,2025-10-10 0:00,1380,502.86,1156571,규칙적
(주)디디에스엠,7,5,66.8,68.5,46.8,12,118,2010-07-13 0:00,2011-04-06 0:00,267,5535,12448661,불규칙적
주식회사 대한불소,7,7,165.8,150,143.6,20,338,2023-03-14 0:00,2025-12-03 0:00,995,361.83,925500,불규칙적
PT. KINDO MAKMUR JAYA,7,1,,,,,,2015-06-22 0:00,2015-06-22 0:00,0,323,654948,N/A
일성포장,7,7,265,131.5,304.5,81,938,2012-06-26 0:00,2016-11-02 0:00,1590,60.43,668000,불규칙적
(주)홍명피앤비,7,7,161,140,57,110,275,2010-09-30 0:00,2013-05-23 0:00,966,74.29,215429,규칙적
동일접착,7,6,530,550,342,40,911,2011-03-10 0:00,2018-06-11 0:00,2650,916.67,2350000,불규칙적
창미포장기계,7,7,266.2,68.5,482.1,4,1342,2011-12-07 0:00,2016-04-21 0:00,1597,36,102400,불규칙적
(주)한웰이쇼핑,6,6,34.8,35,4.7,27,42,2012-05-29 0:00,2012-11-19 0:00,174,1920,18816000,규칙적
ELORABI TRADING & AGENCIES,6,4,266,342,130.8,82,374,2023-10-23 0:00,2025-12-29 0:00,798,8503.95,23784210,규칙적
(주)테이팩스,6,6,235.6,242,105.7,60,357,2016-07-25 0:00,2019-10-16 0:00,1178,446.67,918667,규칙적
주식회사현진솔루션,6,5,163.2,77.5,158.2,61,437,2023-12-13 0:00,2025-09-26 0:00,653,85,3434000,불규칙적
CLEANPAC PACKAGING (CANADA),6,2,347,347,0,347,347,2012-07-30 0:00,2013-07-12 0:00,347,13926.5,38136885,규칙적
한국은행,6,1,,,,,,2017-08-08 0:00,2017-08-08 0:00,0,690,15870000,N/A
인천남고등학교,6,1,,,,,,2018-07-20 0:00,2018-07-20 0:00,0,53.5,107000,N/A
화남포장,6,3,53.5,53.5,37.5,16,91,2018-05-01 0:00,2018-08-16 0:00,107,347,2090160,불규칙적
주식회사 일성포장,6,6,167,56,246.8,1,656,2017-10-16 0:00,2020-01-29 0:00,835,40.4,1408000,불규칙적
이록기업사,6,3,197.5,197.5,1.5,196,199,2024-12-06 0:00,2026-01-05 0:00,395,631,1449500,규칙적
엘로이산업,6,5,84.2,71.5,47,33,161,2020-04-16 0:00,2021-03-19 0:00,337,188,526400,불규칙적
신일피엔에스 주식회사,6,6,13.6,7,9.9,6,32,2018-01-19 0:00,2018-03-28 0:00,68,757,1468933,불규칙적
(주)서진밴드,6,6,129.2,30,218.4,4,565,2016-09-19 0:00,2018-06-27 0:00,646,7610.75,11286400,불규칙적
종로포장비니루상사,6,6,595.6,179,802.9,10,2178,2010-01-29 0:00,2018-03-26 0:00,2978,128,360400,불규칙적
"DYNAMIC RESOURCES, INC.",6,1,,,,,,2015-04-17 0:00,2015-04-17 0:00,0,195,531540,N/A
신생테크놀러지(주),6,6,119.2,141,43.8,50,172,2020-05-18 0:00,2022-01-04 0:00,596,52.75,104025,규칙적
금성포장,6,6,165.2,126,67.5,96,278,2023-04-06 0:00,2025-07-10 0:00,826,16,432000,규칙적
유진지관공업(주),6,4,93.3,126,52,20,134,2015-12-17 0:00,2016-09-22 0:00,280,291.4,1047900,불규칙적
영창프라스틱,6,6,283,196,137.1,164,531,2015-06-30 0:00,2019-05-15 0:00,1415,10.67,79920,규칙적
선도기업,6,6,200.2,67,294.8,14,787,2015-10-22 0:00,2018-07-19 0:00,1001,36,225661,불규칙적
송화포장,6,6,410,87,464.8,65,1259,2010-01-06 0:00,2015-08-18 0:00,2050,53.33,148500,불규칙적
APACKPLASTIC,6,6,116.2,118,22.3,91,148,2010-05-01 0:00,2011-12-03 0:00,581,7998.17,18687756,규칙적
주식회사 나눔푸드,6,6,150,62,127.1,43,351,2021-11-01 0:00,2023-11-21 0:00,750,78.33,176000,불규칙적
(주)교학사,5,4,22.7,10,23.8,2,56,2010-01-08 0:00,2010-03-17 0:00,68,1070,2140000,불규칙적
(주)케세코,5,5,1012.8,891.5,335.9,710,1558,2010-07-28 0:00,2021-08-30 0:00,4051,40,88800,규칙적
대영포장(주)안산,5,5,23,23.5,7.4,12,33,2021-02-01 0:00,2021-05-04 0:00,92,4150,6640000,규칙적
제일산업(제주),5,3,654.5,654.5,373.5,281,1028,2010-01-11 0:00,2013-08-12 0:00,1309,3626.67,6415000,불규칙적
상원포장,5,5,181.5,85.5,192.4,43,512,2010-01-07 0:00,2012-01-03 0:00,726,324,623000,불규칙적
새한사,5,5,537.8,532.5,208.8,248,838,2019-04-15 0:00,2025-03-05 0:00,2151,230,492000,규칙적
범영포장기계,5,5,77,56,55.3,26,170,2010-01-25 0:00,2010-11-29 0:00,308,350,940000,불규칙적
태림PACK,5,5,32.5,31,7.1,25,43,2010-05-06 0:00,2010-09-13 0:00,130,55,148500,규칙적
주식회사 인아플러스텍,5,5,326,325.5,181.2,71,582,2021-11-22 0:00,2025-06-18 0:00,1304,16.8,146960,불규칙적
주식회사 에이펙스,5,5,215.5,175,160.8,36,476,2018-12-05 0:00,2021-04-15 0:00,862,922,1726160,불규칙적
한국폼팩,5,4,519.3,521,145.7,340,697,2020-04-09 0:00,2024-07-15 0:00,1558,625,1273500,규칙적
(주)영화수출포장 김포공장,5,3,42,42,40,2,82,2025-02-26 0:00,2025-05-21 0:00,84,600,1770000,불규칙적
반성폴리테크,5,5,947.8,616.5,674.9,448,2110,2010-05-31 0:00,2020-10-16 0:00,3791,100,294000,불규칙적
세웅실업,5,5,523.2,323.5,367.4,287,1159,2019-12-26 0:00,2025-09-18 0:00,2093,82,188800,불규칙적
(주)신명코퍼레이션,5,5,90.8,90.5,7.9,82,100,2025-01-07 0:00,2026-01-05 0:00,363,18,708000,규칙적
TAPE,5,1,,,,,,2010-04-10 0:00,2010-04-10 0:00,0,8559,21215563,N/A
해부름,5,3,14,14,4,10,18,2020-07-21 0:00,2020-08-18 0:00,28,610,1017500,규칙적
미래포장기계,5,4,510,567,262.4,164,799,2010-12-30 0:00,2015-03-09 0:00,1530,468.75,955000,불규칙적
태원세탁,5,5,271.5,224,153.2,131,507,2013-01-25 0:00,2016-01-16 0:00,1086,240,726000,불규칙적
아이원팩,5,5,402,175.5,439.3,97,1160,2021-05-07 0:00,2025-10-01 0:00,1608,68,292000,불규칙적
윤스북,5,4,219.7,277,113.6,61,321,2024-01-25 0:00,2025-11-14 0:00,659,46,315000,불규칙적
PRIOR PACKAGING,5,1,,,,,,2014-08-30 0:00,2014-08-30 0:00,0,9501.4,21130924,N/A
제일패키지,5,5,867.5,869,63.7,776,956,2014-11-26 0:00,2024-05-27 0:00,3470,100,314000,규칙적
보성인재,5,3,744,744,614,130,1358,2012-11-16 0:00,2016-12-13 0:00,1488,1073.33,2399667,불규칙적
클린플러스,5,4,346.7,146,376.4,20,874,2023-02-09 0:00,2025-12-15 0:00,1040,402.5,1044250,불규칙적
양산기공종합(주),5,3,1071,1071,1030,41,2101,2017-10-17 0:00,2023-08-29 0:00,2142,41,126400,불규칙적
㈜창마루 박스포유,5,2,311,311,0,311,311,2017-08-21 0:00,2018-06-28 0:00,311,13.5,265000,규칙적
명재상사,5,3,178,178,87,91,265,2023-03-29 0:00,2024-03-19 0:00,356,138.33,415333,규칙적
동원화학수지,4,4,863,212,1054.2,27,2350,2011-10-25 0:00,2018-11-26 0:00,2589,8470,3377500,불규칙적
대한스틸,4,2,7,7,0,7,7,2023-09-18 0:00,2023-09-25 0:00,7,3850,1347500,규칙적
덕영산업(주),4,4,548.7,543,291.1,195,908,2019-02-19 0:00,2023-08-23 0:00,1646,30,90300,불규칙적
미추클린센터,4,4,41.3,44,11.6,26,54,2010-02-17 0:00,2010-06-21 0:00,124,40,108000,규칙적
삼원포장기자재,4,3,446,446,275,171,721,2012-07-03 0:00,2014-12-12 0:00,892,56,168800,불규칙적
(주)디알젬(김천공장지점),4,4,204,264,116.6,41,307,2023-10-20 0:00,2025-06-23 0:00,612,3825,276250,불규칙적
EAST TAMAKI(ATTWOOD),4,1,,,,,,2012-09-02 0:00,2012-09-02 0:00,0,9084,23612614,N/A
세림산업사,4,4,84,70,24.2,64,118,2025-04-09 0:00,2025-12-17 0:00,252,4500,2970000,규칙적
동횡성 농업협동조합,4,3,19,19,12,7,31,2022-05-24 0:00,2022-07-01 0:00,38,200.67,1346667,불규칙적
(주)뉴덕흥기업,4,3,17.5,17.5,8.5,9,26,2016-12-01 0:00,2017-01-05 0:00,35,1000,2200000,규칙적
주식회사 신아,4,2,60,60,0,60,60,2016-06-20 0:00,2016-08-19 0:00,60,300,540000,규칙적
ALLESPACK SYSTEMS PVT. LTD.,4,3,313,313,20,293,333,2013-02-09 0:00,2014-10-28 0:00,626,11400,26614960,규칙적
우기케미칼,4,3,840,840,297,543,1137,2019-11-11 0:00,2024-06-17 0:00,1680,480.33,1477667,규칙적
(주)동양강철,4,3,57,57,25,32,82,2013-01-21 0:00,2013-05-15 0:00,114,1250.33,2682000,규칙적
주식회사 올에이치,4,4,238.7,261,94.8,113,342,2022-09-07 0:00,2024-08-23 0:00,716,1280,4080000,규칙적
그린웰푸드,4,4,315,247,118,217,481,2022-09-27 0:00,2025-04-29 0:00,945,80,288000,규칙적
대성비니루수출포장(안양),4,3,2218,2218,2184,34,4402,2013-01-23 0:00,2025-03-17 0:00,4436,147.33,450267,불규칙적
동광인쇄산업,4,4,103.7,122,44.8,42,147,2014-02-21 0:00,2014-12-29 0:00,311,25,51250,규칙적
ROUNDBOX P.C. PACKAGING MATERIAL,4,2,4,4,0,4,4,2023-09-28 0:00,2023-10-02 0:00,4,10357.7,25443214,규칙적
P.P.U OPTIMA,4,4,529.3,556,63.3,442,590,2014-04-01 0:00,2018-08-06 0:00,1588,768,2160297,규칙적
주식회사 대창하드웨어,4,4,795.3,882,341.1,341,1163,2015-11-05 0:00,2022-05-18 0:00,2386,175,357500,규칙적
에이스인쇄,4,2,166,166,0,166,166,2010-10-20 0:00,2011-04-04 0:00,166,172.5,399750,규칙적
SNELL PACKAGING,4,3,22,22,8,14,30,2011-01-13 0:00,2011-02-26 0:00,44,12202,26170637,규칙적
가론종합상사,4,2,57,57,0,57,57,2022-04-12 0:00,2022-06-08 0:00,57,81,299000,규칙적
서원산업사,4,2,111,111,0,111,111,2017-08-11 0:00,2017-11-30 0:00,111,357.5,1134580,규칙적
제이엔제이,4,2,9,9,0,9,9,2022-05-03 0:00,2022-05-12 0:00,9,126,280092,규칙적
만덕종합상사,4,4,357.7,343,63.7,288,442,2010-10-19 0:00,2013-09-26 0:00,1073,400,1185000,규칙적
동강목재,4,3,254,254,250,4,504,2020-12-11 0:00,2022-05-03 0:00,508,67.33,893333,불규칙적
행복한광어영어조합법인,4,2,111,111,0,111,111,2025-07-11 0:00,2025-10-30 0:00,111,151.5,491000,규칙적
주식회사 럭키,4,3,41.5,41.5,13.5,28,55,2018-06-14 0:00,2018-09-05 0:00,83,121.33,1050387,규칙적
진흥산업,4,4,473,418,165.9,303,698,2021-03-18 0:00,2025-02-04 0:00,1419,175,357500,규칙적
케이디켐(주)당진공장,4,4,93,115,43.7,32,132,2010-01-05 0:00,2010-10-11 0:00,279,550,956500,규칙적
명진금속,4,3,570,570,319,251,889,2021-01-20 0:00,2024-03-05 0:00,1140,51.33,99167,불규칙적
대우밴딩,3,3,63,63,61,2,124,2010-03-09 0:00,2010-07-13 0:00,126,430,1161000,불규칙적
장원식품,3,2,1,1,0,1,1,2020-12-29 0:00,2020-12-30 0:00,1,200,363636,규칙적
서해유통,3,3,353,353,19,334,372,2023-03-08 0:00,2025-02-11 0:00,706,100,230000,규칙적
다함팩,3,2,14,14,0,14,14,2025-11-13 0:00,2025-11-27 0:00,14,296,858400,규칙적
대한에프앤드에프(주),3,2,252,252,0,252,252,2021-08-23 0:00,2022-05-02 0:00,252,600.5,1700000,규칙적
BS프린팅,3,3,1048,1048,230,818,1278,2016-06-07 0:00,2022-03-04 0:00,2096,40,127333,규칙적
한일산업,3,2,112,112,0,112,112,2016-01-22 0:00,2016-05-13 0:00,112,300.5,1069000,규칙적
신안문화사,3,2,415,415,0,415,415,2010-01-19 0:00,2011-03-10 0:00,415,700,1400000,규칙적
KAUSAR INDUSTRIES DBA A&R BOX AND PACKAGING,3,1,,,,,,2023-08-07 0:00,2023-08-07 0:00,0,2735,5364557,N/A
원우패키징 주식회사,3,3,133.5,133.5,12.5,121,146,2023-07-03 0:00,2024-03-26 0:00,267,2100,3990000,규칙적
아민트레이딩,3,3,2,2,0,2,2,2016-03-14 0:00,2016-03-18 0:00,4,15000,21300000,규칙적
콩나물,3,3,211.5,211.5,18.5,193,230,2024-05-10 0:00,2025-07-07 0:00,423,233.33,530303,규칙적
매일농산,3,3,138.5,138.5,1.5,137,140,2025-02-27 0:00,2025-12-01 0:00,277,20,454545,규칙적
봉평농협메일가공공장,3,3,1089,1089,44,1045,1133,2017-07-26 0:00,2023-07-13 0:00,2178,24,81600,규칙적
동아농약종묘사,3,3,881.5,881.5,56.5,825,938,2011-02-08 0:00,2015-12-07 0:00,1763,200,576667,규칙적
비트산업,3,3,621.5,621.5,104.5,517,726,2022-03-31 0:00,2025-08-25 0:00,1243,90,184333,규칙적
칸비즈(주),3,3,207,207,9,198,216,2022-03-30 0:00,2023-05-18 0:00,414,1,4100000,규칙적
동남물산,3,3,134.5,134.5,69.5,65,204,2024-03-26 0:00,2024-12-20 0:00,269,400,1260000,불규칙적
(주)리코,3,1,,,,,,2010-09-10 0:00,2010-09-10 0:00,0,2000,4300000,N/A
정명인쇄사,3,3,159.5,159.5,114.5,45,274,2022-01-17 0:00,2022-12-02 0:00,319,20,56000,불규칙적
흥농팜(강원총판),3,2,42,42,0,42,42,2024-07-29 0:00,2024-09-09 0:00,42,32,132900,규칙적
샘(SAEM),3,3,14,14,11,3,25,2022-04-26 0:00,2022-05-24 0:00,28,25000,35750000,불규칙적
경은 종합상사,3,2,9,9,0,9,9,2016-10-04 0:00,2016-10-13 0:00,9,71,141500,규칙적
둔내농업협동,3,1,,,,,,2018-09-03 0:00,2018-09-03 0:00,0,12,393200,N/A
반석문화사,3,3,634,634,28,606,662,2010-07-12 0:00,2013-12-31 0:00,1268,40,117333,규칙적
주식회사 지엘,3,3,11,11,3,8,14,2015-07-14 0:00,2015-08-05 0:00,22,150,300000,규칙적
위드텍,3,3,907,907,221,686,1128,2017-03-16 0:00,2022-03-04 0:00,1814,170.67,1125547,규칙적
범영산업(안양),3,3,312.5,312.5,10.5,302,323,2011-07-05 0:00,2013-03-21 0:00,625,266.67,806667,규칙적
(주)건영기업,3,3,142.5,142.5,102.5,40,245,2022-08-11 0:00,2023-05-23 0:00,285,200.33,860000,불규칙적
주식회사 삼성프린팅솔루션,3,2,177,177,0,177,177,2023-11-01 0:00,2024-04-26 0:00,177,800,1785000,규칙적
동신패키지,3,2,1837,1837,0,1837,1837,2019-03-18 0:00,2024-03-28 0:00,1837,820,2378000,규칙적
우진글로벌로지스틱스(주),3,1,,,,,,2018-11-15 0:00,2018-11-15 0:00,0,24.5,56500,N/A
주식회사 대일,3,3,160.5,160.5,85.5,75,246,2025-01-02 0:00,2025-11-19 0:00,321,80,264000,불규칙적
(주)디에스아이,2,2,48,48,0,48,48,2022-11-17 0:00,2023-01-04 0:00,48,2000,5600000,규칙적
농업회사법인 영신 주식회사,2,2,147,147,0,147,147,2022-08-17 0:00,2023-01-11 0:00,147,30,105000,규칙적
에콜그린텍 주식회사,2,2,13,13,0,13,13,2022-11-01 0:00,2022-11-14 0:00,13,61,244000,규칙적
(주)에이치산업,2,2,120,120,0,120,120,2023-02-07 0:00,2023-06-07 0:00,120,140,504000,규칙적
(주)천안수지,2,2,221,221,0,221,221,2023-02-16 0:00,2023-09-25 0:00,221,0,0,규칙적
주식회사 우진씨앤티,2,2,67,67,0,67,67,2022-03-04 0:00,2022-05-10 0:00,67,176,1267200,규칙적
비비시스템,2,2,1095,1095,0,1095,1095,2022-02-22 0:00,2025-02-21 0:00,1095,2,46000,규칙적
(주)영화포장,2,2,80,80,0,80,80,2025-09-30 0:00,2025-12-19 0:00,80,600,1770000,규칙적
GAICA SAS,2,2,476,476,0,476,476,2024-06-05 0:00,2025-09-24 0:00,476,4138.2,10356957,규칙적
서연 B&C,2,1,,,,,,2024-08-22 0:00,2024-08-22 0:00,0,241,559000,N/A
주식회사 시온,2,2,127,127,0,127,127,2025-06-19 0:00,2025-10-24 0:00,127,220,726000,규칙적
주식회사 이디엠에스,2,2,132,132,0,132,132,2024-12-17 0:00,2025-04-28 0:00,132,195.5,620000,규칙적
주식회사시몬사,2,2,538,538,0,538,538,2023-07-28 0:00,2025-01-16 0:00,538,600,1800000,규칙적
인재플러스,2,1,,,,,,2021-12-21 0:00,2021-12-21 0:00,0,1750,6137500,N/A
온누리유통,2,2,81,81,0,81,81,2022-05-19 0:00,2022-08-08 0:00,81,60,192000,규칙적
(주)이카운트,2,1,,,,,,2009-12-01 0:00,2009-12-01 0:00,0,11,440000,N/A
충남상회,2,2,1597,1597,0,1597,1597,2010-03-23 0:00,2014-08-06 0:00,1597,120,336000,규칙적
카드매출,2,2,127,127,0,127,127,2017-02-06 0:00,2017-06-13 0:00,127,56.25,120625,규칙적
뿌리장갑상사,2,2,141,141,0,141,141,2018-03-21 0:00,2018-08-09 0:00,141,280,179000,규칙적
(주)가이아피씨아이,2,1,,,,,,2011-05-24 0:00,2011-05-24 0:00,0,24,57563,N/A
금송목조주택,2,1,,,,,,2018-03-19 0:00,2018-03-19 0:00,0,11,21819,N/A
보령종합상사,2,2,488,488,0,488,488,2018-03-02 0:00,2019-07-03 0:00,488,150,265000,규칙적
일성화학,2,2,414,414,0,414,414,2010-06-23 0:00,2011-08-11 0:00,414,200,545000,규칙적
(주)제이에스와이글로벌,2,1,,,,,,2018-01-31 0:00,2018-01-31 0:00,0,21,70000,N/A
한스랩텍,2,1,,,,,,2017-12-13 0:00,2017-12-13 0:00,0,5460,9000000,N/A
위베스트,2,1,,,,,,2010-06-30 0:00,2010-06-30 0:00,0,6515,13246733,N/A
주식회사 도루코리빙 문막지점,2,2,277,277,0,277,277,2017-08-24 0:00,2018-05-28 0:00,277,500,1600000,규칙적
인미농산,2,2,189,189,0,189,189,2021-02-23 0:00,2021-08-31 0:00,189,460,896364,규칙적
(주)미광테크,2,2,804,804,0,804,804,2010-08-12 0:00,2012-10-24 0:00,804,815,2278500,규칙적
파란교재,2,2,236,236,0,236,236,2010-03-12 0:00,2010-11-03 0:00,236,81.25,151250,규칙적
주식회사 대광기업,2,1,,,,,,2016-11-23 0:00,2016-11-23 0:00,0,21,1040000,N/A
베스트로유통,2,1,,,,,,2011-10-19 0:00,2011-10-19 0:00,0,90,2592000,N/A
해성전자,2,2,37,37,0,37,37,2016-10-26 0:00,2016-12-02 0:00,37,100,260000,규칙적
화신,2,2,37,37,0,37,37,2016-10-26 0:00,2016-12-02 0:00,37,50,130000,규칙적
주식회사 배성,2,1,,,,,,2016-09-27 0:00,2016-09-27 0:00,0,1550,3000000,N/A
(주)원스텐,2,2,7,7,0,7,7,2010-12-03 0:00,2010-12-10 0:00,7,900,1760000,규칙적
에그트리,2,2,205,205,0,205,205,2016-04-12 0:00,2016-11-03 0:00,205,50,167500,규칙적
태형,2,2,797,797,0,797,797,2015-05-19 0:00,2017-07-24 0:00,797,200,580000,규칙적
(주)모아글로벌,2,1,,,,,,2016-01-11 0:00,2016-01-11 0:00,0,716,2385160,N/A
제일도모송,2,2,649,649,0,649,649,2011-06-22 0:00,2013-04-01 0:00,649,100,300000,규칙적
동신인쇄,2,2,1611,1611,0,1611,1611,2010-03-18 0:00,2014-08-15 0:00,1611,1000,2750000,규칙적
범영산업(김근태/익산),2,2,124,124,0,124,124,2015-09-30 0:00,2016-02-01 0:00,124,200,580000,규칙적
덕성수출포장,2,2,590,590,0,590,590,2011-11-01 0:00,2013-06-13 0:00,590,120,360000,규칙적
지영,2,1,,,,,,2019-05-16 0:00,2019-05-16 0:00,0,2,38000,N/A
마도포장산업,2,2,94,94,0,94,94,2010-01-08 0:00,2010-04-12 0:00,94,50,132000,규칙적
가나수지,2,2,604,604,0,604,604,2020-12-14 0:00,2022-08-10 0:00,604,1020,771500,규칙적
부일서적,2,2,410,410,0,410,410,2010-01-08 0:00,2011-02-22 0:00,410,131.25,234375,규칙적
대진종합안전,2,1,,,,,,2020-06-26 0:00,2020-06-26 0:00,0,150,262500,N/A
이엠에스테크,2,2,45,45,0,45,45,2020-06-26 0:00,2020-08-10 0:00,45,1000,1830000,규칙적
동광산업,2,2,37,37,0,37,37,2010-01-12 0:00,2010-02-18 0:00,37,400,1020000,규칙적
공구백화점,2,2,420,420,0,420,420,2012-06-01 0:00,2013-07-26 0:00,420,900,2700000,규칙적
주식회사 비에스넷코리아,2,1,,,,,,2018-05-24 0:00,2018-05-24 0:00,0,8,28720,N/A
태양포장산업기계,2,2,246,246,0,246,246,2019-07-11 0:00,2020-03-13 0:00,246,20,58000,규칙적
(주)엠케이테크놀로지,2,1,,,,,,2019-12-09 0:00,2019-12-09 0:00,0,2020,98500,N/A
주식회사 에스앤비산업,2,1,,,,,,2018-07-09 0:00,2018-07-09 0:00,0,11,21500,N/A
동일압착,2,1,,,,,,2010-01-19 0:00,2010-01-19 0:00,0,900,1850000,N/A
케미칼라,2,1,,,,,,2018-06-18 0:00,2018-06-18 0:00,0,201,610000,N/A
공구백화점(신규),2,2,322,322,0,322,322,2014-07-25 0:00,2015-06-12 0:00,322,800,2380000,규칙적
유성제책사,2,2,415,415,0,415,415,2010-01-19 0:00,2011-03-10 0:00,415,750,1375000,규칙적
운산상사,2,2,671,671,0,671,671,2011-11-08 0:00,2013-09-09 0:00,671,80,240000,규칙적
주식회사 쪽빛누리,2,2,508,508,0,508,508,2019-05-03 0:00,2020-09-22 0:00,508,19,66500,규칙적
대광케이스,1,1,,,,,,2023-11-16 0:00,2023-11-16 0:00,0,50,650000,N/A
(주)치악포장,1,1,,,,,,2024-02-23 0:00,2024-02-23 0:00,0,1000,2160000,N/A
Cutting Tool Ltd.,1,1,,,,,,2012-09-11 0:00,2012-09-11 0:00,0,960,2139825,N/A
신영쇼핑백,1,1,,,,,,2024-01-26 0:00,2024-01-26 0:00,0,600,2100000,N/A
세진상사,1,1,,,,,,2023-10-12 0:00,2023-10-12 0:00,0,560,1176000,N/A
(주)영은바인딩,1,1,,,,,,2023-11-10 0:00,2023-11-10 0:00,0,500,1150000,N/A
현대종합상사,1,1,,,,,,2011-07-20 0:00,2011-07-20 0:00,0,100,295000,N/A
중앙기업사,1,1,,,,,,2011-08-11 0:00,2011-08-11 0:00,0,20,59000,N/A
(주)신흥케미칼,1,1,,,,,,2012-07-03 0:00,2012-07-03 0:00,0,8000,3200000,N/A
영창유리,1,1,,,,,,2023-10-27 0:00,2023-10-27 0:00,0,60,165000,N/A
주식회사 제이케이하드웨어,1,1,,,,,,2023-10-26 0:00,2023-10-26 0:00,0,200,440000,N/A
청운디지텍,1,1,,,,,,2011-10-27 0:00,2011-10-27 0:00,0,1,1500000,N/A
(주)프럼파스트,1,1,,,,,,2021-04-15 0:00,2021-04-15 0:00,0,500,2250000,N/A
한국포장기계(주),1,1,,,,,,2010-07-12 0:00,2010-07-12 0:00,0,1200,3240000,N/A
범영산업,1,1,,,,,,2011-04-05 0:00,2011-04-05 0:00,0,400,1180000,N/A
선풍포장,1,1,,,,,,2010-02-26 0:00,2010-02-26 0:00,0,60,174000,N/A
가업j&d,1,1,,,,,,2025-12-05 0:00,2025-12-05 0:00,0,50,115000,N/A
