일자,거래처명,창고,품   목 [규격],수량(kg),단위,단가,외화금액,공급가액,부가세,합계,적요,법인명(삼성),오더번호
20100213,CORPORATEEXPRESS,PP,PP 12MM12MM 1000M 0.55MM Blue,8923.0000000000,KG,2.1110750000,18670.0000000000,21603519.0000000000,0.0000000000,21603519.0000000000, , , 
20100215,LANDEN,PP,"12 x 3,000M 0.62T12x3,000M0.62T백색",15319.0000000000,KG,1.8182000000,27852.0000000000,32227549.0000000000,0.0000000000,32227549.0000000000, , , 
20100217,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,2794.0000000000,KG,1894.1428571429,0.0000000000,4865676.0000000000,486567.0000000000,5352243.0000000000,내수 30롤, , 
20100218,제일산업(주)(화성),PP,PP12MPP12M／M9KG,1140.0000000000,KG,2040.0000000000,0.0000000000,2191000.0000000000,219100.0000000000,2410100.0000000000,30롤, , 
20100219,경인팩,PP,PP8MMPP8M／M10KG(투명),23786.0000000000,KG,1712.3500000000,0.0000000000,11768994.0000000000,1176899.0000000000,12945893.0000000000,20롤, , 
20100220,"SANYU CO.,LTD",PP,15 x 170M 0.55T15x170M0.55T백색,660260.0000000000,KG,134.4065181818,1813680.0000000000,22606977.0000000000,0.0000000000,22606977.0000000000, , , 
20100222,금산포장,PP,PP12MPP12M／M12.5KG(아.그린),6476.0000000000,KG,1984.6153846154,0.0000000000,10906700.0000000000,1090670.0000000000,11997370.0000000000,100롤, , 
20100223,KOMERI,PP,15 x 100M 0.55T15x100M0.55T녹색,23089.0000000000,KG,707.9548000000,2637400.0000000000,53499678.0000000000,2027238.0000000000,55526916.0000000000, , , 
20100224,(주)시몬사,PE,PE28mm 2kgPE28M／M(백)2KG,640.0000000000,KG,2550.0000000000,0.0000000000,1640000.0000000000,164000.0000000000,1804000.0000000000,20박스, , 
20100225,파워엠팩,PP,PP9MMPP9M／M13KG(투명),1160.0000000000,KG,2025.0000000000,0.0000000000,2492000.0000000000,249200.0000000000,2741200.0000000000,30롤, , 
20100226,선풍포장,PE,PE28mm 2kgPE28M／M(백)2KG,3455.0000000000,KG,2142.0600000000,0.0000000000,6619790.0000000000,159275.0000000000,6779065.0000000000,3박스, , 
20100227,호성수출포장,PE,PE28mm 2kgPE28M／M(백)2KG,12367.0000000000,KG,459.4176666667,28553.0800000000,33855887.0000000000,78000.0000000000,33933887.0000000000,15박스, , 
20100228,TSUKASA CHEMICAL INDUSTRY,PE,PE28mm 2kgPE28M／M(청)2KG,11280.0000000000,KG,168.4000000000,1877280.0000000000,24391686.0000000000,0.0000000000,24391686.0000000000, , , 
2010/02  계,,,,870368.5,,41491.9351853675,11638159.96,432885385,13788029,446673414,,,
20100302,광림포장기계컨베이어,PP,PP15MPP15M／M13KG(황),4653.0000000000,KG,2790.0000000000,0.0000000000,7938500.0000000000,793850.0000000000,8732350.0000000000,150롤, , 
20100303,삼성전자(주),PP,18MMx 21kg 삼성2520M두께0.9mm단중8.56g,3261.0000000000,KG,2041.4000000000,0.0000000000,5854786.0000000000,461757.0000000000,6316543.0000000000,수출 9, , 
20100304,한국미쓰비시상사(주),PE,PE28mm 2kgPE28M／M(황)2KG,14602.0000000000,KG,3938.6175000000,1577309.0000000000,32971684.0000000000,1234165.0000000000,34205849.0000000000, , , 
20100305,광림포장기계컨베이어,PE,PE28mm 2kgPE28M／M(황)2KG,4380.0000000000,KG,1990.4444444444,0.0000000000,8132755.0000000000,407314.0000000000,8540069.0000000000,5박스, , 
20100306,RLBUTTON,PP,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",15962.0000000000,KG,6.1555333333,28033.3200000000,32064511.0000000000,0.0000000000,32064511.0000000000, , , 
20100308,경인팩,PE,PE28mm 2kgPE28M／M(녹)2KG,2605.0000000000,KG,2133.3333333333,0.0000000000,4749000.0000000000,474900.0000000000,5223900.0000000000,4박스, , 
20100309,대우밴딩,PE,PE28mm 2kgPE28M／M(백)2KG,1100.0000000000,KG,2566.6666666667,0.0000000000,2830000.0000000000,283000.0000000000,3113000.0000000000,20 c/t, , 
