출하번호,출하창고명,품명,수량,진행상태,인쇄
20250908-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20250905-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,201.0000000000,진행중,인쇄
20250904-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250904-1,상품,PE28mm 2kg [PE28M／M(백)2KG],240.0000000000,진행중,인쇄
20250903-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250901-2,상품,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20250901-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20250828-1,PP,PP12M [PP12M／M10KG(백)] 외 1건,121.0000000000,진행중,인쇄
20250825-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,761.0000000000,진행중,인쇄
20250825-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20250825-1,PP,PP15M [PP15M／M10KG(백색)],100.0000000000,진행중,인쇄
20250821-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20250819-2,상품,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20250819-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",1200.0000000000,진행중,인쇄
20250818-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1022.0000000000,진행중,인쇄
20250815-1,PP,PP6MM [PP6M／M10KG(백)] 외 4건,1444.0000000000,진행중,인쇄
20250811-2,상품,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20250811-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20250808-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",432.0000000000,진행중,인쇄
20250807-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1528.0000000000,진행중,인쇄
20250729-2,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20250729-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20250728-2,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20250728-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20250725-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250722-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1686.0000000000,진행중,인쇄
20250721-3,PE,PE28mm 2kg [PE28M／M(백)2KG],200.0000000000,진행중,인쇄
20250721-2,PP,PP15M [PP15M／M9.5KG(적색)] 외 2건,1730.0000000000,진행중,인쇄
20250717-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 2건",684.0000000000,진행중,인쇄
20250717-1,PP,PP12M [PP12M／M10KG(백)],200.0000000000,진행중,인쇄
20250715-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,880.0000000000,진행중,인쇄
20250715-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20250715-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20250711-4,PE,PE28mm 2kg [PE28M／M(백)2KG],400.0000000000,진행중,인쇄
20250711-3,PP,PP6MM [PP6M／M10KG(백)] 외 1건,661.0000000000,진행중,인쇄
20250711-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,301.0000000000,진행중,인쇄
20250711-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20250710-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,147.0000000000,진행중,인쇄
20250708-4,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 4건",406.0000000000,진행중,인쇄
20250708-3,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1122.0000000000,진행중,인쇄
20250708-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,105.0000000000,진행중,인쇄
20250708-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20250704-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,189.0000000000,진행중,인쇄
