출하번호,출하창고명,품명,수량,진행상태,인쇄
20240607-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240530-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1984.0000000000,진행중,인쇄
20240530-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20240529-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240527-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240524-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20240520-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20240520-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,2892.0000000000,진행중,인쇄
20240513-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1123.0000000000,진행중,인쇄
20240502-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1984.0000000000,진행중,인쇄
20240502-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20240430-1,PP,PP6MM [PP6M／M10KG(청)] 외 2건,1121.0000000000,진행중,인쇄
20240425-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240425-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20240425-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20240424-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20240418-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240416-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m] 외 1건,97.0000000000,진행중,인쇄
20240409-6,PP,PP6MM [PP6M／M10KG(백)],-30.0000000000,진행중,인쇄
20240409-5,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",-48.0000000000,진행중,인쇄
20240409-4,PE,PE17mm 2kg [PE17M／M(백) 2KG] 외 3건,346.0000000000,진행중,인쇄
20240409-3,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],64.0000000000,진행중,인쇄
20240409-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,2794.0000000000,진행중,인쇄
20240409-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1920.0000000000,진행중,인쇄
20240402-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,3566.0000000000,진행중,인쇄
20240402-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2152.0000000000,진행중,인쇄
20240329-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240328-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20240321-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,401.0000000000,진행중,인쇄
20240321-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20240321-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240315-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20240313-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",289.0000000000,진행중,인쇄
20240305-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m] 외 1건,41.0000000000,진행중,인쇄
20240304-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1123.0000000000,진행중,인쇄
20240304-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20240228-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20240228-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2160.0000000000,진행중,인쇄
20240227-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,168.0000000000,진행중,인쇄
20240226-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240226-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240223-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240219-3,PP,PP6MM [PP6M／M10KG(황)] 외 1건,561.0000000000,진행중,인쇄
20240219-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20240219-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20240216-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240214-1,상품,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,51.0000000000,진행중,인쇄
20240201-1,PP,PP12M [PP12M／M10KG(황)] 외 1건,1140.0000000000,진행중,인쇄
20240131-4,PP,PP6MM [PP6M／M10KG(백)] 외 1건,3366.0000000000,진행중,인쇄
20240131-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,2352.0000000000,진행중,인쇄
20240131-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240131-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240126-3,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20240122-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",2400.0000000000,진행중,인쇄
20240119-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240118-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240116-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20240116-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,3264.0000000000,진행중,인쇄
20240115-3,PP,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,63.0000000000,진행중,인쇄
20240115-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,42.0000000000,진행중,인쇄
20240115-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20240111-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,210.0000000000,진행중,인쇄
20240109-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",577.0000000000,진행중,인쇄
20231229-1,PP,PP6MM [PP6M／M10KG(황)],500.0000000000,진행중,인쇄
20231228-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],80.0000000000,진행중,인쇄
20231227-4,PP,PP6MM [PP6M／M10KG(백)],-10.0000000000,진행중,인쇄
20231227-3,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",-64.0000000000,진행중,인쇄
20231227-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20231227-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20231226-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231220-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],40.0000000000,진행중,인쇄
20231214-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231214-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,3366.0000000000,진행중,인쇄
20231214-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2624.0000000000,진행중,인쇄
20231208-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231129-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20231128-4,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231128-3,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",-64.0000000000,진행중,인쇄
20231128-2,PP,PP6MM [PP6M／M10KG(황)] 외 1건,-130.0000000000,진행중,인쇄
20231127-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231124-2,PP,PP6MM [PP6M／M10KG(백)] 외 4건,721.0000000000,진행중,인쇄
20231124-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20231122-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231116-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20231115-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m] 외 1건,49.0000000000,진행중,인쇄
20231109-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2724.0000000000,진행중,인쇄
20231109-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20231107-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231106-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m] 외 1건,49.0000000000,진행중,인쇄
20231103-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231101-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231101-2,PP,PP6MM [PP6M／M10KG(백)],2240.0000000000,진행중,인쇄
20231101-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 4건,3524.0000000000,진행중,인쇄
20231031-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231027-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20231025-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",1200.0000000000,진행중,인쇄
20231023-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20231019-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,2372.0000000000,진행중,인쇄
20231019-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,840.0000000000,진행중,인쇄
20231017-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20231012-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",1200.0000000000,진행중,인쇄
20231011-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,704.0000000000,진행중,인쇄
20231005-4,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20231005-3,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],32.0000000000,진행중,인쇄
20231005-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2719.0000000000,진행중,인쇄
20231005-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20230921-1,상품,반자동밴딩기 [저상형/대만제],1.0000000000,진행중,인쇄
20230920-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230918-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",-72.0000000000,진행중,인쇄
20230918-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230914-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2494.0000000000,진행중,인쇄
20230914-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1920.0000000000,진행중,인쇄
20230904-1,PP,PP6MM [PP6M／M10KG(황)] 외 1건,561.0000000000,진행중,인쇄
20230901-4,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230901-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,3104.0000000000,진행중,인쇄
20230830-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230825-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",721.0000000000,진행중,인쇄
20230821-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20230817-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230817-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2592.0000000000,진행중,인쇄
20230816-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20230801-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1920.0000000000,진행중,인쇄
20230801-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2158.0000000000,진행중,인쇄
20230727-1,PP,PP12M [PP12M／M10KG(백)],1000.0000000000,진행중,인쇄
20230725-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230721-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230719-5,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,-80.0000000000,진행중,인쇄
20230719-4,PP,PP6MM [PP6M／M10KG(백)],-110.0000000000,진행중,인쇄
20230719-3,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20230719-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230718-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20230717-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20230717-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20230714-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230714-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1242.0000000000,진행중,인쇄
20230714-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20230713-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230704-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,3840.0000000000,진행중,인쇄
20230630-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2619.0000000000,진행중,인쇄
20230630-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20230628-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20230619-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,2469.0000000000,진행중,인쇄
20230619-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2432.0000000000,진행중,인쇄
20230614-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230612-3,상품,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,51.0000000000,진행중,인쇄
20230612-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230612-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230608-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20230608-1,상품,스트레치필름(일반 핸드랩) [15*500mm*400m],32.0000000000,진행중,인쇄
20230607-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20230605-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230605-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2592.0000000000,진행중,인쇄
20230602-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,367.0000000000,진행중,인쇄
20230602-1,PP,PP6MM [PP6M／M10KG(백)],2560.0000000000,진행중,인쇄
20230531-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230526-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230522-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230522-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20230515-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230515-2,PP,PP12M [PP12M／M12.5KG (황)] 외 4건,2443.0000000000,진행중,인쇄
20230515-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,1512.0000000000,진행중,인쇄
20230512-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230509-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1184.5000000000,진행중,인쇄
20230509-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20230508-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230504-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,401.0000000000,진행중,인쇄
20230503-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1216.0000000000,진행중,인쇄
20230503-1,PP,PP6MM [PP6M／M10KG(백)],1120.0000000000,진행중,인쇄
20230501-1,PP,PP6MM [PP6M／M10KG(백)],2610.0000000000,진행중,인쇄
20230425-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2032.0000000000,진행중,인쇄
20230425-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1708.0000000000,진행중,인쇄
20230418-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20230418-1,PP,수지대 [경인팩 400*200],1.0000000000,진행중,인쇄
20230414-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",193.0000000000,진행중,인쇄
20230413-3,PP,PP6MM [PP6M／M10KG(백)],1920.0000000000,진행중,인쇄
20230413-2,PE,PE28mm 2kg [PE28M／M(백)2KG],840.0000000000,진행중,인쇄
20230413-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1328.0000000000,진행중,인쇄
20230411-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,2245.0000000000,진행중,인쇄
20230411-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1920.0000000000,진행중,인쇄
20230410-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1201.0000000000,진행중,인쇄
20230407-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,168.0000000000,진행중,인쇄
20230327-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20230327-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20230323-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,126.0000000000,진행중,인쇄
20230321-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20230316-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 3건,2232.0000000000,진행중,인쇄
20230316-1,PP,PP6MM [PP6M／M10KG(백)],590.0000000000,진행중,인쇄
20230315-2,PP,PP6MM [PP6M／M10KG(백)],500.0000000000,진행중,인쇄
20230315-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230314-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20230313-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20230308-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,962.0000000000,진행중,인쇄
20230308-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,3072.0000000000,진행중,인쇄
20230306-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1123.0000000000,진행중,인쇄
20230302-4,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,201.0000000000,진행중,인쇄
20230302-3,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,21.0000000000,진행중,인쇄
20230302-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20230302-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,561.0000000000,진행중,인쇄
20230221-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",193.0000000000,진행중,인쇄
20230220-3,PP,PP6MM [PP6M／M10KG(백)],-370.0000000000,진행중,인쇄
20230220-2,PP,PP6MM [PP6M／M10KG(황)] 외 1건,2560.0000000000,진행중,인쇄
20230220-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,3264.0000000000,진행중,인쇄
20230213-1,PE,PE50mm 2kg [PE50M／M(백)2KG] 외 1건,241.0000000000,진행중,인쇄
20230208-2,PP,PP6MM [PP6M／M10KG(백)],2560.0000000000,진행중,인쇄
20230208-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1328.0000000000,진행중,인쇄
20230203-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 5건,3904.0000000000,진행중,인쇄
20230203-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2084.0000000000,진행중,인쇄
20230201-2,PE,PE28mm 2kg [PE28M／M(청)2KG],40.0000000000,진행중,인쇄
20230201-1,PP,PP6MM [PP6M／M10KG(황)],300.0000000000,진행중,인쇄
20230131-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 2건",257.0000000000,진행중,인쇄
20230118-3,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",241.0000000000,진행중,인쇄
20230118-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1680.0000000000,진행중,인쇄
20230118-1,PP,PP6MM [PP6M／M10KG(백)],1280.0000000000,진행중,인쇄
20230117-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,21.0000000000,진행중,인쇄
20230116-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20230116-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230113-3,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20230111-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230109-2,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20230109-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20230106-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230103-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20230102-2,PE,PE28mm 2kg [PE28M／M(백)2KG],720.0000000000,진행중,인쇄
20230102-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1920.0000000000,진행중,인쇄
20221229-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20221228-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20221221-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2280.0000000000,진행중,인쇄
20221221-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2244.0000000000,진행중,인쇄
20221220-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20221216-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20221216-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,3366.0000000000,진행중,인쇄
20221213-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,501.0000000000,진행중,인쇄
20221212-2,PE,PE17mm 2kg [PE17M／M(백) 2KG] 외 1건,105.0000000000,진행중,인쇄
20221212-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,1684.0000000000,진행중,인쇄
20221205-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2194.0000000000,진행중,인쇄
20221205-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1800.0000000000,진행중,인쇄
20221202-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20221201-4,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20221201-3,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1923.0000000000,진행중,인쇄
20221201-1,PE,PE28mm 2kg [PE28M／M(백)2KG],840.0000000000,진행중,인쇄
20221129-2,PE,PE28mm 2kg [PE28M／M(황)2KG],20.0000000000,진행중,인쇄
20221129-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,542.0000000000,진행중,인쇄
20221124-4,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20221121-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,2719.0000000000,진행중,인쇄
20221121-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,3264.0000000000,진행중,인쇄
20221118-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,42.0000000000,진행중,인쇄
20221116-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,241.0000000000,진행중,인쇄
20221114-1,PP,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20221109-2,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",1952.0000000000,진행중,인쇄
20221109-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20221103-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1952.0000000000,진행중,인쇄
20221102-2,PP,PE28mm 2kg [PE28M／M(백)2KG],2520.0000000000,진행중,인쇄
20221102-1,PP,PP6MM [PP6M／M10KG(백)],640.0000000000,진행중,인쇄
20221101-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20221026-2,PP,PP12M [PP12M／M10KG(백)] 외 2건,3005.0000000000,진행중,인쇄
20221026-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,2952.0000000000,진행중,인쇄
20221020-1,PP,PP12M [PP12M／M10KG(황)] 외 1건,561.0000000000,진행중,인쇄
20221017-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,2805.0000000000,진행중,인쇄
20221014-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20221012-2,PP,PP6MM [PP6M／M10KG(황)] 외 2건,2460.0000000000,진행중,인쇄
20221011-4,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20221011-3,PE,PE28mm 2kg [PE28M／M(적)2KG] 외 1건,1400.0000000000,진행중,인쇄
20221007-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20220929-4,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,61.0000000000,진행중,인쇄
20220929-3,PP,PP6MM [PP6M／M10KG(황)],530.0000000000,진행중,인쇄
20220929-2,PP,PP6MM [PP6M／M10KG(백)],1120.0000000000,진행중,인쇄
20220929-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 2건,2824.0000000000,진행중,인쇄
20220928-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20220915-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,3615.0000000000,진행중,인쇄
20220915-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,3264.0000000000,진행중,인쇄
20220905-2,PP,PP6MM [PP6M／M10KG(황)] 외 1건,1280.0000000000,진행중,인쇄
