"회사명 : (주)케이아이씨 / 2000/01/01  ~ 2026/01/05  / 생산입고현황"
"월/일	","생산된공장	","입고창고	","품명 및 규격	","수량	","생산금액	","적요	",""
"10/01/09-3	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","720.000","0","주간	",""
"10/01/09-3	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","384.000","0","주간	",""
"10/01/11-1	","PP	","PP	","PP9MM [PP9M／M10KG(황)]	","400.000","0","	",""
"10/01/11-1	","PP	","PP	","PP15M [PP15M／M10KG(황)]	","320.000","0","	",""
"10/01/11-1	","PP	","PP	","PP15M [PP15M／M13KG(황)]	","1,300.000","0","	",""
"10/01/11-2	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T황색]	","869.400","0","	",""
"10/01/11-2	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T녹색]	","207.000","0","	",""
"10/01/11-3	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,000.000","0","야간	",""
"10/01/11-3	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","720.000","0","야간	",""
"10/01/11-4	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","168.000","0","주간	",""
"10/01/11-4	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","72.000","0","주간	",""
"10/01/12-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","800.000","0","야간	",""
"10/01/12-2	","PE	","PE	","PE35mm, 6KG [PE35M／M(백)6KG]	","960.000","0","야간	",""
"10/01/12-3	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,056.000","0","주간	",""
"10/01/12-3	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","768.000","0","주간	",""
"10/01/12-4	","PP	","PP	","PP15M [PP15M／M10KG(황)]	","180.000","0","	",""
"10/01/12-5	","PP	","PP	","PP10.5M [PP10.5M10KG(황)]	","500.000","0","	",""
"10/01/12-6	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T황색]	","207.000","0","	",""
"10/01/12-7	","PP	","PP	","PP9MM [PP9M／M10KG(황)]	","300.000","0","	",""
"10/01/12-8	","PP	","PP	","PP9MM [PP9M／M10KG(청)]	","1,000.000","0","	",""
"10/01/12-9	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","1,386.000","0","	",""
"10/01/13-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,248.000","0","야간	",""
"10/01/13-1	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","864.000","0","야간	",""
"10/01/13-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,248.000","0","주간	",""
"10/01/13-2	","PE	","PE	","PE28mm, 6KG [PE28M／M(백)6KG]	","768.000","0","주간	",""
"10/01/13-3	","PP	","PP	","18MMx 21kg 삼성 [2520M두께0.9mm단중8.56g]	","3,444.000","0","	",""
"10/01/13-4	","PP	","PP	","PP9MM [PP9M／M10KG(적)]	","500.000","0","	",""
"10/01/13-5	","PP	","PP	","PP9MM [PP9M／M10KG(백)]	","1,000.000","0","	",""
"10/01/13-6	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","200.000","0","	",""
"10/01/13-7	","PP	","PP	","15.5 x 2,500M 0.55T [15.5x2,500M0.55T황색]	","848.000","0","	",""
"10/01/14-1	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,240.000","0","야간	",""
