00~26 구매조회,,,,,,,,
일자-No.,거래처명,품목명,금액합계,거래유형,창고명,회계반영여부,인쇄,불러온 전표
20230317-2,금성포장,패드 380 [380*200 (무인쇄)] 외 1건,1771000,세금계산서,PP,Y,인쇄,조회
20230317-1,덕흥수지,PP원료(A),23760000,세금계산서,PP,Y,인쇄,조회
20230316-3,제이케이머티리얼즈(주)／순성공장,PP원료,23406768,세금계산서,PP,Y,인쇄,조회
20230316-2,삼보팩,박스 외부 PE (폴리밴드) [320 190 780],788480,세금계산서,PE,Y,인쇄,조회
20230316-1,효창산업,CALPET [CALPET],4950000,세금계산서,PP,Y,인쇄,조회
20230315-3,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20230315-2,진흥산업,폴리백 40*57 [폴리백 40*57],498960,세금계산서,PE,Y,인쇄,조회
20230315-1,재생산업,PP 재생원료 [PP원료(A)],33264000,세금계산서,PP,Y,인쇄,조회
20230314-1,에어팩코리아,에어백 APK-1022 (1000*2200) [에어백 1000*2200],508200,세금계산서,PP,Y,인쇄,조회
20230313-2,(주)경남캐미칼,MB 307 [M／B 307 Yellow],1628000,세금계산서,PP,Y,인쇄,조회
20230313-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 1건,2221824,세금계산서,PP,Y,인쇄,조회
20230309-2,제이케이머티리얼즈(주)／순성공장,PP원료,41219750,세금계산서,PP,Y,인쇄,조회
20230309-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20230308-7,금성포장,무인쇄톰슨접착 320 [320*130*320],1724580,세금계산서,PP,Y,인쇄,조회
20230308-6,디엘에프엔씨 주식회사,PP원료 [대림 A],32815200,세금계산서,PP,Y,인쇄,조회
20230308-5,디엘에프엔씨 주식회사,PP원료 [대림 A],32815200,세금계산서,PP,Y,인쇄,조회
20230308-4,지에스칼텍스(주),H430-A [500KG],35090000,세금계산서,PP,Y,인쇄,조회
20230308-3,금성포장,패드 540 [540*200],2310000,세금계산서,PP,Y,인쇄,조회
20230308-2,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m],3542000,세금계산서,상품,Y,인쇄,조회
20230308-1,주식회사 썬에이스,Y-135_25kg,524700,세금계산서,PP,Y,인쇄,조회
20230307-2,(주)태진케미칼,PP원료 [PPA],20625000,세금계산서,PP,Y,인쇄,조회
20230307-1,삼보팩,고메리 2입 (C/T) [450*445*400] 외 4건,3652550,세금계산서,PP,Y,인쇄,조회
20230306-5,주식회사 천강,PP펄렛 [PP펄렛],16568475,세금계산서,PP,Y,인쇄,조회
20230306-4,(주)스피드랩코리아,스트레치필름(기능 핸드랩) [15*500mm*400m],1373680,세금계산서,상품,Y,인쇄,조회
20230306-3,성신목재,팔레트 1100*1100 [1100*1100],1760000,세금계산서,PP,Y,인쇄,조회
20230306-2,가나수지,PP 재생원료 [투명(A)],6875000,세금계산서,PP,Y,인쇄,조회
20230306-1,일신케미칼,PP임가공 [PP임가공],3165800,세금계산서,PP,Y,인쇄,조회
20230302-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1329328,세금계산서,PP,Y,인쇄,조회
20230302-1,(주)스피드랩코리아,스트레치필름(일반 핸드랩) [20*300*380m],1231296,세금계산서,상품,Y,인쇄,조회
20230228-4,지에스칼텍스(주),H430-A [500KG],33880000,세금계산서,PP,Y,인쇄,조회
20230228-3,주식회사 썬에이스,Y-130_25kg 외 1건,979550,세금계산서,PP,Y,인쇄,조회
20230228-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1329328,세금계산서,PP,Y,인쇄,조회
20230228-1,(주)대원우드,팔레트 1200*1200 [1200*1200] 외 6건,1108800,세금계산서,PP,Y,인쇄,조회
20230224-4,지에스칼텍스(주),H430-A [500KG],33880000,세금계산서,PP,Y,인쇄,조회
20230224-3,(주)경남캐미칼,MB 820FL [M／B 820FL（BLACK）],1320000,세금계산서,PP,Y,인쇄,조회
20230224-2,덕흥수지,PP원료(A),23760000,세금계산서,PP,Y,인쇄,조회
20230224-1,금성포장,패드 540 [540*200],1178100,세금계산서,PP,Y,인쇄,조회
20230223-1,제이케이머티리얼즈(주)／순성공장,PE원료 [재생원료],26059264,세금계산서,PP,Y,인쇄,조회
20230222-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1372536,세금계산서,PP,Y,인쇄,조회
20230221-2,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)],1925000,세금계산서,PP,Y,인쇄,조회
20230221-1,금성포장,패드 420 [420＊200 무지],1333200,세금계산서,PP,Y,인쇄,조회
20230220-3,S-OIL(주)온산공장,HD500/PP50DW [500KG],41250000,세금계산서,PP,Y,인쇄,조회
20230220-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1641640,세금계산서,PP,Y,인쇄,조회
20230220-1,덕흥수지,PP원료(A),23760000,세금계산서,PP,Y,인쇄,조회
20230217-1,(주)태진케미칼,PP원료 [PPA],20625000,세금계산서,PP,Y,인쇄,조회
20230216-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,3006608,세금계산서,PP,Y,인쇄,조회
20230215-1,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,3144680,세금계산서,상품,Y,인쇄,조회
20230214-4,백암지관공업사,지관 200 [지관 200＊8＊190] 외 2건,1721720,세금계산서,PP,Y,인쇄,조회
20230214-3,(주)태진케미칼,PP원료 [PPA],20625000,세금계산서,PP,Y,인쇄,조회
20230214-2,일신케미칼,PP임가공 [PP임가공],2335520,세금계산서,PP,Y,인쇄,조회
20230214-1,진흥산업,폴리백 26＊44 [폴리백 26＊44],1430000,세금계산서,PE,Y,인쇄,조회
20230210-1,진영프라스틱,PP 청색 [PP 청색] 외 1건,-8087200,세금계산서,PP,Y,인쇄,조회
20230209-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 2건,1953952,세금계산서,PP,Y,인쇄,조회
20230208-4,재생산업,PP 재생원료 [PP원료(A)] 외 1건,33363000,세금계산서,PP,Y,인쇄,조회
20230208-2,(주)영화수출포장,박스 (#28*6kg박스) [465 455 245],795168,세금계산서,PE,Y,인쇄,조회
20230208-1,(주)경남캐미칼,MB 100B（ [M／B 100B（WHITE）],1870000,세금계산서,PP,Y,인쇄,조회
20230207-2,제이케이머티리얼즈(주)／순성공장,PP원료,42594552,세금계산서,PP,Y,인쇄,조회
20230207-1,덕흥수지,PP원료(A),23760000,세금계산서,PP,Y,인쇄,조회
20230206-2,성진산업롤,고무롤 [연마[1000*210]] 외 3건,814000,세금계산서,PP,Y,인쇄,조회
20230206-1,주식회사 천강,PP펄렛 [PP펄렛],16210425,세금계산서,PP,Y,인쇄,조회
20230204-1,(주)경남캐미칼,M45K420B COMPOUND,1353000,세금계산서,PP,Y,인쇄,조회
20230203-3,가나수지,PP 재생원료 [투명(A)] 외 3건,12738000,세금계산서,PP,Y,인쇄,조회
20230203-2,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m],1771000,세금계산서,PP,Y,인쇄,조회
20230203-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 2건,1641640,세금계산서,PP,Y,인쇄,조회
20230202-7,S-OIL(주)온산공장,HD500/PP50DW [500KG],41250000,세금계산서,PP,Y,인쇄,조회
20230202-6,제이케이머티리얼즈(주)／순성공장,PP원료,23171148,세금계산서,PP,Y,인쇄,조회
20230202-5,(주)스피드랩코리아,스트레치필름(일반 핸드랩 20) [20*500mm*350m],693000,세금계산서,상품,Y,인쇄,조회
20230202-3,(주)영화수출포장,포리밴드 DF50 [470*460*205] 외 1건,1528450,세금계산서,PE,Y,인쇄,조회
20230202-2,한국파렛트풀(주),팔레트 1100*1100*120 [1100*1100*120 7kg],2772000,세금계산서,PP,Y,인쇄,조회
20230202-1,금성포장,패드 540 [540*200],1155000,세금계산서,PP,Y,인쇄,조회
20230201-3,우선산업,PP9M/M [PP9M/M*9.5KG*0.95T(백색)],2198889,세금계산서,PP,Y,인쇄,조회
20230201-2,(주)대원우드,팔레트 1140*1140 [1140*1140] 외 4건,633600,세금계산서,PP,Y,인쇄,조회
20230201-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20230131-6,주식회사 썬에이스,Y-120_25kg 외 2건,3401200,세금계산서,PP,Y,인쇄,조회
20230131-5,S-OIL(주)온산공장,HD500/PP50DW [500KG],40425000,세금계산서,PP,Y,인쇄,조회
20230131-4,두성엔지니어링,엠보로라 가공,8250000,세금계산서,PP,Y,인쇄,조회
20230131-3,주식회사 썬에이스,Y-120_25kg,37950000,세금계산서,PP,Y,인쇄,조회
20230131-2,(주)경남캐미칼,MB 307 [M／B 307 Yellow] 외 1건,3960000,세금계산서,PP,Y,인쇄,조회
20230131-1,금성포장,패드 400 [패드 400＊200 적색] 외 1건,2682900,세금계산서,PP,Y,인쇄,조회
20230130-1,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG] 외 1건,43725000,세금계산서,PE,Y,인쇄,조회
20230127-3,제이케이머티리얼즈(주)／순성공장,PP원료,23060268,세금계산서,PP,Y,인쇄,조회
20230127-2,백암지관공업사,지관 200 [지관 200＊4＊189] 외 1건,1975776,세금계산서,PP,Y,인쇄,조회
20230127-1,덕흥수지,PP원료(A),23760000,세금계산서,PP,Y,인쇄,조회
20230126-2,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG],20988000,세금계산서,PE,Y,인쇄,조회
20230126-1,백암지관공업사,지관 200 [지관 200＊4＊189] 외 1건,1409408,세금계산서,PP,Y,인쇄,조회
20230119-4,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20230119-3,금성포장,패드540(무인쇄) [패드540*200],1155000,세금계산서,PP,Y,인쇄,조회
20230119-2,삼보팩,박스 외부 PE (폴리밴드) [320 190 780],786227,세금계산서,PE,Y,인쇄,조회
20230118-3,성신목재,팔레트 1100*1100 [1100*1100 열처리] 외 1건,946000,세금계산서,PP,Y,인쇄,조회
20230118-2,재생산업,PP 재생원료 [PP원료(A)] 외 1건,2145000,세금계산서,PP,Y,인쇄,조회
20230117-4,제이케이머티리얼즈(주)／순성공장,PE원료 [재생원료],12984576,세금계산서,PE,Y,인쇄,조회
20230117-3,경인팩,결속기용 칼날,110000,세금계산서,상품,Y,인쇄,조회
20230117-2,두성엔지니어링,RING 가공 [Φ150*Φ132*13L] 외 5건,4147000,세금계산서,PP,Y,인쇄,조회
20230117-1,백암지관공업사,지관 200 [지관 200＊8＊190],1873872,세금계산서,PP,Y,인쇄,조회
20230116-3,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m] 외 1건,4518360,세금계산서,상품,Y,인쇄,조회
20230116-2,동원화학수지,PP원료 [블랙] 외 1건,21057850,세금계산서,PP,Y,인쇄,조회
20230116-1,일신케미칼,PP임가공 [PP임가공],6124800,세금계산서,PP,Y,인쇄,조회
20230113-1,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m],1771000,세금계산서,상품,Y,인쇄,조회
20230112-4,삼보팩,무인쇄톰슨접착 430 [430*130*130] 외 3건,5027880,세금계산서,PP,Y,인쇄,조회
20230112-3,(주)영화수출포장,경인팩 2KG [320*190*780] 외 1건,1504048,세금계산서,PP,Y,인쇄,조회
20230112-2,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG],20988000,세금계산서,PE,Y,인쇄,조회
20230112-1,디엘에프엔씨 주식회사,PP원료 [대림 A],31231200,세금계산서,PP,Y,인쇄,조회
20230111-2,제이케이머티리얼즈(주)／순성공장,PE원료 [재생원료],23099648,세금계산서,PE,Y,인쇄,조회
20230111-1,백암지관공업사,지관 200 [지관 200＊4＊189] 외 1건,2381984,세금계산서,PP,Y,인쇄,조회
20230106-3,(주)대원우드,팔레트 1290＊1290 [1290＊1290],26400,세금계산서,PP,Y,인쇄,조회
20230106-2,(주)경남캐미칼,UV-NATURAL 외 1건,2145000,세금계산서,PP,Y,인쇄,조회
20230106-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 2건,2355408,세금계산서,PP,Y,인쇄,조회
20230105-2,제이케이머티리얼즈(주)／순성공장,PP원료,23032548,세금계산서,PP,Y,인쇄,조회
20230105-1,경인팩,결속기용 칼날,22000,세금계산서,상품,Y,인쇄,조회
20230104-3,금성포장,패드 420 [420＊200 (아이엠센트럴)],765380,세금계산서,PP,Y,인쇄,조회
20230104-1,백암지관공업사,지관 200 [지관 200＊8＊186],1249248,세금계산서,PP,Y,인쇄,조회
20230103-1,제이케이머티리얼즈(주)／순성공장,PP원료,23406768,세금계산서,PP,Y,인쇄,조회
20230102-1,(주)대원우드,팔레트 1080＊1080 [1080＊1080] 외 4건,660000,세금계산서,PP,Y,인쇄,조회
20230101-2,(주)스피드랩코리아,스트레치필름(일반 핸드랩 20) [20*500mm*350m],2217600,세금계산서,상품,Y,인쇄,조회
20230101-1,(주)스피드랩코리아,스트레치필름(기능 핸드랩) [15*500mm*400m] 외 1건,3144680,세금계산서,상품,Y,인쇄,조회
20221231-1,제이케이머티리얼즈(주)／순성공장,PP원료,23862784,세금계산서,PP,Y,인쇄,조회
20221230-2,금성포장,패드 540 [540*200],1155000,세금계산서,PP,Y,인쇄,조회
20221230-1,삼보팩,미국박스 580 [580*170*580] 외 1건,1767392,세금계산서,PP,Y,인쇄,조회
20221229-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20221229-1,파코팩(PACO PACK),15M/M (수축밴드) [15mm*1300m* 0.6mm(T) 10KG(투명)],4224000,세금계산서,상품,Y,인쇄,조회
20221228-1,제이케이머티리얼즈(주)／순성공장,PP원료,24580864,세금계산서,PP,Y,인쇄,조회
20221227-3,백암지관공업사,지관 200 [지관 200＊8＊190],1249248,세금계산서,PP,Y,인쇄,조회
20221227-2,금성포장,패드 400 [패드 400＊200 적색],1222100,세금계산서,PP,Y,인쇄,조회
20221227-1,신일이에프에스 주식회사,PP원료 [재생 PP-백색],11220000,세금계산서,PP,Y,인쇄,조회
20221226-3,삼보팩,패드 580 [580*406 무지] 외 2건,1281224,세금계산서,PP,Y,인쇄,조회
20221226-2,(주)경남캐미칼,M45K420B COMPOUND,1353000,세금계산서,PP,Y,인쇄,조회
20221226-1,재생산업,PP 재생원료 [PP원료(OG)],34095600,세금계산서,PP,Y,인쇄,조회
20221223-4,S-OIL(주)온산공장,HD500/PP50DW [500KG],40425000,세금계산서,PP,Y,인쇄,조회
20221223-2,(주)경남캐미칼,MB 100B（ [M／B 100B（WHITE）],1870000,세금계산서,PP,Y,인쇄,조회
20221223-1,(주)스피드랩코리아,스트레치필름(일반 핸드랩) [20*300*380m],1268784,세금계산서,상품,Y,인쇄,조회
20221222-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,2034032,세금계산서,PP,Y,인쇄,조회
20221221-1,진송팩,파렛트 밴딩기 ( 참 1200mm) [DBA-130],1958000,세금계산서,상품,Y,인쇄,조회
20221220-4,덕흥수지,PP원료(A),23760000,세금계산서,PP,Y,인쇄,조회
20221220-3,(주)경남캐미칼,MB 307 [M／B 307 Yellow],2035000,세금계산서,PP,Y,인쇄,조회
20221220-2,백암지관공업사,지관 200 [지관 200＊8＊190],1249248,세금계산서,PP,Y,인쇄,조회
20221220-1,효창산업,CALPET [CALPET],4950000,세금계산서,PP,Y,인쇄,조회
20221216-3,백암지관공업사,지관 50 [지관 50＊5＊225] 외 1건,2032800,세금계산서,PP,Y,인쇄,조회
20221216-2,(주)스피드랩코리아,스트레치필름(일반 핸드랩) [25*500mm*300m] 외 1건,213070,세금계산서,상품,Y,인쇄,조회
20221216-1,백암지관공업사,지관 406 [지관 406＊6＊155] 외 1건,1298088,세금계산서,PP,Y,인쇄,조회
20221215-1,디엘에프엔씨 주식회사,PP원료 [대림 A],31231200,세금계산서,PP,Y,인쇄,조회
20221214-2,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG],43725000,세금계산서,PE,Y,인쇄,조회
20221214-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1948848,세금계산서,PP,Y,인쇄,조회
20221213-5,파코팩(PACO PACK),운송료,71500,세금계산서,상품,Y,인쇄,조회
20221213-4,파코팩(PACO PACK),"12 x 3,000M 0.65T White w/EST 206 Black printed [12 x 3,000M 0.65T White w/EST 206 Black printed] 외 1건",5354640,영세율,상품,Y,인쇄,조회
20221213-3,(주)대원우드,팔레트 1080＊1080 [1080＊1080] 외 3건,528000,세금계산서,PP,Y,인쇄,조회
20221213-2,(주)영화수출포장,포리밴드 DF50 [470*460*205],808500,세금계산서,PE,Y,인쇄,조회
20221213-1,한국파렛트풀(주),팔레트 1100*1100*120 [1100*1100*120 7kg],2772000,세금계산서,PP,N,인쇄,조회
20221212-3,백암지관공업사,지관 200 [지관 200＊4＊189],1177176,세금계산서,PP,Y,인쇄,조회
20221212-1,삼보팩,서플라이웨이BOX(White/SWPS12350WH) [440*200*445] 외 1건,2915011,세금계산서,PP,Y,인쇄,조회
20221209-4,백암지관공업사,지관 406 [지관 406＊6＊155],727320,세금계산서,PP,Y,인쇄,조회
20221209-3,제이케이머티리얼즈(주)／순성공장,PE원료 [재생원료],22226688,세금계산서,PE,Y,인쇄,조회
20221209-2,금성포장,타이거팩 4500 C/T 320 [320*130*320] 외 2건,1547700,세금계산서,PP,Y,인쇄,조회
20221208-4,금성포장,패드 430 [패드 430＊200 무지],1444300,세금계산서,PP,Y,인쇄,조회
20221208-3,주식회사시몬사,피피클립 [19*28(2KG-삼성)],92400,세금계산서,상품,Y,인쇄,조회
20221208-2,(주)영화수출포장,박스 내수PE(폴리밴드) [320 190 780],917840,세금계산서,PE,Y,인쇄,조회
20221208-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 2건,1770736,세금계산서,PP,Y,인쇄,조회
20221206-1,주식회사시몬사,피피클립 [19*28(2KG-삼성)],92400,세금계산서,상품,Y,인쇄,조회
20221205-2,진흥산업,폴리백 57*57 [폴리백 57*57],580800,세금계산서,PP,Y,인쇄,조회
20221205-1,신일이에프에스 주식회사,PP원료 [재생 PP-백색],11880000,세금계산서,PP,Y,인쇄,조회
20221202-2,금성포장,패드 540 [540*200],1155000,세금계산서,PP,Y,인쇄,조회
20221202-1,백암지관공업사,지관 200 [지관 200＊4＊189] 외 2건,2346344,세금계산서,PP,Y,인쇄,조회
20221201-1,(주)경남캐미칼,MB 820FL [M／B 820FL（BLACK）] 외 1건,1691250,세금계산서,PP,Y,인쇄,조회
20221130-6,제이케이머티리얼즈(주)／순성공장,PP원료,17763328,세금계산서,PP,Y,인쇄,조회
20221130-5,제이케이머티리얼즈(주)／순성공장,PP원료,4440832,세금계산서,PP,Y,인쇄,조회
20221130-4,제이케이머티리얼즈(주)／순성공장,PP원료,24634368,세금계산서,PP,Y,인쇄,조회
20221130-3,주식회사 썬에이스,Pelestat V H230_20KG [대전방지제],1584000,세금계산서,PP,Y,인쇄,조회
20221130-2,파코팩(PACO PACK),PP12M [PP12M／M9KG(인쇄)],1283040,세금계산서,상품,Y,인쇄,조회
20221129-1,삼보팩,스넬 C/T 260* [260*132*263],1023000,세금계산서,PP,Y,인쇄,조회
20221125-3,백암지관공업사,지관 200 [지관 200＊8＊186] 외 2건,1815616,세금계산서,PP,Y,인쇄,조회
20221125-2,금성포장,패드 400 [패드 400＊200 무지],1210000,세금계산서,PP,Y,인쇄,조회
20221125-1,가나수지,PP 재생원료 [투명(A)] 외 3건,8105900,세금계산서,PP,Y,인쇄,조회
20221124-1,(주)대원우드,팔레트 1080＊1080 [1080＊1080] 외 6건,580800,세금계산서,PP,Y,인쇄,조회
20221123-2,주식회사 썬에이스,Y-130_25kg,34531750,세금계산서,PP,Y,인쇄,조회
20221123-1,삼보팩,고메리 3입 (C/T) [360*355*385] 외 1건,2077777,세금계산서,PP,Y,인쇄,조회
20221122-2,삼보팩,박스 외부 PE (폴리밴드) [320 190 780] 외 2건,2075516,세금계산서,PP,Y,인쇄,조회
20221122-1,(주)스피드랩코리아,스트레치필름(일반 기계랩) [25*500mm*1400m] 외 1건,1906300,세금계산서,상품,Y,인쇄,조회
20221121-2,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG],21252000,세금계산서,PP,Y,인쇄,조회
20221121-1,백암지관공업사,지관 200 [지관 200＊4＊189] 외 2건,2346344,세금계산서,PP,Y,인쇄,조회
20221118-5,정우수지,PP원료 [PPA],33013750,세금계산서,PP,Y,인쇄,조회
20221118-4,(주)경남캐미칼,UV-NATURAL,618750,세금계산서,PP,Y,인쇄,조회
20221118-2,금정기획,라벨(아트지도안 파워팩) 4502 [120*65] 외 2건,572000,세금계산서,PP,Y,인쇄,조회
20221118-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,2846448,세금계산서,PP,Y,인쇄,조회
20221116-2,(주)한국바코드시스템,라벨(아트지도안청색) [[86*46 ]] 외 3건,638000,세금계산서,PP,Y,인쇄,조회
20221116-1,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG],21252000,세금계산서,PP,Y,인쇄,조회
20221115-4,S-OIL(주)온산공장,HD500/PP50DW [500KG],41250000,세금계산서,PP,Y,인쇄,조회
20221115-3,금성포장,낙원패드 [패드 400＊200] 외 1건,711150,세금계산서,PP,Y,인쇄,조회
20221115-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 2건,2266264,세금계산서,PP,Y,인쇄,조회
20221115-1,덕흥수지,PP원료(A),24750000,세금계산서,PP,Y,인쇄,조회
20221114-2,재생산업,PP 재생원료 [PP원료(A)],35204400,세금계산서,PP,Y,인쇄,조회
20221114-1,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m],3767500,세금계산서,상품,Y,인쇄,조회
20221111-1,일신케미칼,PP임가공 [PP임가공],2558160,세금계산서,PP,Y,인쇄,조회
20221110-1,성플(Sungple),PP 은색 [PP 은색],12936000,세금계산서,PP,Y,인쇄,조회
20221109-5,(주)경남캐미칼,MB 307 [M／B 307 Yellow] 외 1건,3905000,세금계산서,PP,Y,인쇄,조회
20221109-4,백암지관공업사,지관 406 [지관 406＊6＊155] 외 3건,2194544,세금계산서,PP,Y,인쇄,조회
20221109-3,삼보팩,미국박스 [420 200 425],1192620,세금계산서,PP,Y,인쇄,조회
20221109-2,우선산업,PP9MM [PP9M／M9.5KG(백색)],2198889,세금계산서,상품,Y,인쇄,조회
20221109-1,디엘에프엔씨 주식회사,PP원료 [대림 A],32815200,세금계산서,PP,Y,인쇄,조회
20221108-1,에어팩코리아,에어백 APK-818 [에어백 800*1800] 외 1건,953700,세금계산서,PP,N,인쇄,조회
20221107-1,(주)낙원포장,반자동밴딩기 [strapack IQ-400],825000,세금계산서,상품,Y,인쇄,조회
20221104-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 3건,2419516,세금계산서,PP,Y,인쇄,조회
20221104-1,삼보팩,미국박스 [600*170*605],438900,세금계산서,PP,Y,인쇄,조회
20221101-2,일신케미칼,PP임가공 [PP임가공],2684000,세금계산서,PP,Y,인쇄,조회
20221101-1,(주)영화수출포장,경인팩 2KG [320*190*780] 외 2건,2203850,세금계산서,PE,Y,인쇄,조회
20221031-1,삼보팩,패드 400 광림 [400*200 청색] 외 2건,2290266,세금계산서,PP,Y,인쇄,조회
20221028-2,S-OIL(주)온산공장,HD500/PP50DW [500KG],41250000,세금계산서,PP,Y,인쇄,조회
20221028-1,정우수지,PP원료 [PPA],16321250,세금계산서,PP,Y,인쇄,조회
20221027-5,(주)대원우드,팔레트 1290＊860 [1290＊860],132000,세금계산서,PP,Y,인쇄,조회
20221027-4,(주)대원우드,팔레트 1160*1160 [1160*1160] 외 7건,1452000,세금계산서,PP,Y,인쇄,조회
20221027-3,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,2047848,세금계산서,PP,Y,인쇄,조회
20221027-2,파코팩(PACO PACK),동판비 [동판비],165000,세금계산서,상품,Y,인쇄,조회
20221027-1,파코팩(PACO PACK),"12 x 3,000M 0.63T Blue WOODONE Black printed [12 x 3,000M 0.63T Blue WOODONE Black printed]",2772000,영세율,상품,Y,인쇄,조회
20221026-2,진영프라스틱,PP 청색 [PP 청색],15015000,세금계산서,PP,Y,인쇄,조회
20221026-1,삼보팩,미국박스 [380 200 385] 외 1건,733315,세금계산서,PP,Y,인쇄,조회
20221025-3,삼보팩,미국박스 580 [580*170*580] 외 2건,1657920,세금계산서,PP,Y,인쇄,조회
20221025-2,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG],20856000,세금계산서,PE,Y,인쇄,조회
20221025-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1409408,세금계산서,PP,Y,인쇄,조회
20221021-6,디엘에프엔씨 주식회사,PP원료 [대림 A],32788800,세금계산서,PP,Y,인쇄,조회
20221021-5,S-OIL(주)온산공장,HD500/PP50DW [500KG],41250000,세금계산서,PP,Y,인쇄,조회
20221021-4,주식회사 썬에이스,MF5000(PE원료) [MF5000_500KG] 외 1건,20856000,세금계산서,PE,Y,인쇄,조회
20221021-3,금성포장,옴니원패드 430 [430*200] 외 1건,1782000,세금계산서,PP,Y,인쇄,조회
20221021-2,삼보팩,고메리 2입 (C/T) [450*445*400] 외 3건,2141062,세금계산서,PP,Y,인쇄,조회
20221021-1,백암지관공업사,지관 200 [지관 200＊4＊189] 외 1건,1329328,세금계산서,PP,Y,인쇄,조회
20221020-3,(주)스피드랩코리아,스트레치필름(일반 기계랩) [20*500mm*1400m],3767500,세금계산서,PP,Y,인쇄,조회
20221020-2,금성포장,옴니 C/T 350 [350*130*350(50.010)] 외 1건,842600,세금계산서,PP,Y,인쇄,조회
20221020-1,(주)대원우드,팔레트 1380＊920 [1380＊920] 외 5건,607200,세금계산서,PP,Y,인쇄,조회
20221019-2,백암지관공업사,지관 406 [지관 406＊6＊155],1685376,세금계산서,PP,Y,인쇄,조회
20221019-1,(주)스피드랩코리아,스트레치필름(일반 핸드랩) [20*300*380m],1268784,세금계산서,상품,Y,인쇄,조회
20221018-3,제이케이머티리얼즈(주)／순성공장,PP원료,34073952,세금계산서,PP,Y,인쇄,조회
20221018-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 2건,2346344,세금계산서,PP,Y,인쇄,조회
20221017-3,재생산업,PP 재생원료 [PP원료(A)],35204400,세금계산서,PP,Y,인쇄,조회
20221017-2,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)],1925000,세금계산서,PP,Y,인쇄,조회
20221017-1,S-OIL(주)온산공장,HD500/PP50DW [500KG],41250000,세금계산서,PP,Y,인쇄,조회
20221014-3,(주)넥스텍케미칼,PP원료 [PP7032E3],93500,세금계산서,PP,Y,인쇄,조회
20221014-2,금성포장,패드 540 [540*200],1155000,세금계산서,PP,Y,인쇄,조회
20221013-1,(주)스피드랩코리아,스트레치필름(일반 기계랩) [25*500mm*1400m] 외 1건,1906300,세금계산서,상품,Y,인쇄,조회
20221012-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 3건,2440240,세금계산서,PP,Y,인쇄,조회
20221011-2,(주)영화수출포장,포리밴드 DF50 [470*460*205],808500,세금계산서,PE,Y,인쇄,조회
20221011-1,백암지관공업사,지관 200 [지관 200＊8＊190],1249248,세금계산서,PP,Y,인쇄,조회
20221010-1,가나수지,PP 재생원료 [투명(A)] 외 2건,7810000,세금계산서,PP,Y,인쇄,조회
20221007-5,제이케이머티리얼즈(주)／순성공장,PP원료,21153000,세금계산서,PP,Y,인쇄,조회
20221007-4,일신케미칼,PP임가공 [PP임가공],2776840,세금계산서,PP,Y,인쇄,조회
